# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S -13020 18368 10000)",2.6,3,1982,16.5761,-122.8520,0,"UTM:(11S -13020 18368 10000)",""
"UTM:(11S -7986 -94419 10000)",3.3,21,12971,0.0000,0.0000,0,"UTM:(11S -7986 -94419 10000)",""
"UTM:(11S 002 418 10000)",3.5,4,700,37.6891,-122.3855,0,"UTM:(11S 002 418 10000)",""
"UTM:(11S 004 411 10000)",1.0,1,639,37.0709,-122.1166,0,"UTM:(11S 004 411 10000)",""
"UTM:(11S 004 415 10000)",2.1,1,665,37.4299,-122.1410,0,"UTM:(11S 004 415 10000)",""
"UTM:(11S 005 413 10000)",2.4,3,644,37.2553,-122.0164,0,"UTM:(11S 005 413 10000)",""
"UTM:(11S 008 524 10000)",3.2,3,1601,47.2271,-122.4826,0,"UTM:(11S 008 524 10000)",""
"UTM:(11S 011 421 10000)",2.2,1,659,38.0010,-121.3841,0,"UTM:(11S 011 421 10000)",""
"UTM:(11S 015 392 10000)",2.0,1,440,35.4087,-120.7988,0,"UTM:(11S 015 392 10000)",""
"UTM:(11S 016 391 10000)",2.2,1,427,35.3222,-120.6848,0,"UTM:(11S 016 391 10000)",""
"UTM:(11S 018 384 10000)",2.0,2,379,34.6985,-120.4386,0,"UTM:(11S 018 384 10000)",""
"UTM:(11S 020 381 10000)",3.1,2,350,34.4344,-120.2103,0,"UTM:(11S 020 381 10000)",""
"UTM:(11S 023 381 10000)",2.0,2,322,34.4425,-119.8842,0,"UTM:(11S 023 381 10000)",""
"UTM:(11S 025 381 10000)",4.4,3,303,34.4475,-119.6667,0,"UTM:(11S 025 381 10000)",""
"UTM:(11S 026 380 10000)",2.0,3,290,34.3597,-119.5553,0,"UTM:(11S 026 380 10000)",""
"UTM:(11S 026 407 10000)",1.0,1,456,36.7916,-119.6337,0,"UTM:(11S 026 407 10000)",""
"UTM:(11S 028 379 10000)",3.4,1,268,34.2739,-119.3354,0,"UTM:(11S 028 379 10000)",""
"UTM:(11S 028 380 10000)",3.1,2,272,34.3640,-119.3379,0,"UTM:(11S 028 380 10000)",""
"UTM:(11S 029 378 10000)",2.0,5,256,34.1859,-119.2245,0,"UTM:(11S 029 378 10000)",""
"UTM:(11S 029 379 10000)",2.0,7,259,34.2760,-119.2268,0,"UTM:(11S 029 379 10000)",""
"UTM:(11S 030 377 10000)",2.0,3,243,34.0976,-119.1137,0,"UTM:(11S 030 377 10000)",""
"UTM:(11S 030 378 10000)",2.0,5,246,34.1878,-119.1160,0,"UTM:(11S 030 378 10000)",""
"UTM:(11S 030 379 10000)",2.2,2,249,34.2779,-119.1183,0,"UTM:(11S 030 379 10000)",""
"UTM:(11S 030 380 10000)",2.0,2,253,34.3680,-119.1206,0,"UTM:(11S 030 380 10000)",""
"UTM:(11S 030 391 10000)",1.0,2,311,35.3593,-119.1462,0,"UTM:(11S 030 391 10000)",""
"UTM:(11S 031 378 10000)",2.0,24,237,34.1895,-119.0076,0,"UTM:(11S 031 378 10000)",""
"UTM:(11S 031 379 10000)",2.0,9,240,34.2797,-119.0097,0,"UTM:(11S 031 379 10000)",""
