# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10S 0432 4365 1000)",3.6,1,186,39.4364,-123.7843,0,"Fort Bragg",""
"UTM:(10S 0440 4307 1000)",1.0,1,143,38.9143,-123.6863,0,"Point Arena",""
"UTM:(10S 0459 4286 1000)",1.0,1,116,38.7263,-123.4659,0,"The Sea Ranch",""
"UTM:(10S 0462 4283 1000)",1.0,1,112,38.6993,-123.4313,0,"The Sea Ranch",""
"UTM:(10S 0465 4288 1000)",4.1,1,111,38.7445,-123.3970,0,"Annapolis",""
"UTM:(10S 0475 4265 1000)",2.0,1,92,38.5376,-123.2811,0,"Jenner",""
"UTM:(10S 0478 4266 1000)",2.0,1,90,38.5466,-123.2467,0,"Cazadero",""
"UTM:(10S 0486 4260 1000)",3.1,1,80,38.4928,-123.1548,0,"Cazadero",""
"UTM:(10S 0489 4255 1000)",3.4,1,76,38.4477,-123.1204,0,"Jenner",""
"UTM:(10S 0490 4348 1000)",1.0,1,138,39.2858,-123.1102,0,"Potter Valley",""
"UTM:(10S 0492 4264 1000)",4.3,1,76,38.5289,-123.0861,0,"Cazadero",""
"UTM:(10S 0493 4262 1000)",1.0,1,75,38.5109,-123.0745,0,"Cazadero",""
"UTM:(10S 0494 4241 1000)",4.1,1,67,38.3216,-123.0629,0,"Bodega Bay",""
"UTM:(10S 0494 4243 1000)",4.3,1,68,38.3396,-123.0630,0,"Bodega Bay",""
"UTM:(10S 0494 4244 1000)",3.9,2,68,38.3486,-123.0630,0,"Bodega Bay",""
"UTM:(10S 0494 4265 1000)",4.1,1,75,38.5379,-123.0631,0,"Guerneville",""
"UTM:(10S 0495 4243 1000)",3.4,1,67,38.3396,-123.0515,0,"Bodega Bay",""
"UTM:(10S 0495 4244 1000)",3.4,1,67,38.3486,-123.0515,0,"Bodega Bay",""
"UTM:(10S 0495 4256 1000)",3.4,1,70,38.4568,-123.0515,0,"Jenner",""
"UTM:(10S 0495 4257 1000)",4.6,1,71,38.4658,-123.0516,0,"Monte Rio",""
"UTM:(10S 0495 4259 1000)",3.4,1,72,38.4838,-123.0516,0,"Cazadero",""
"UTM:(10S 0495 4261 1000)",2.6,1,72,38.5019,-123.0516,0,"Cazadero",""
"UTM:(10S 0496 4257 1000)",3.8,1,70,38.4658,-123.0401,0,"Monte Rio",""
"UTM:(10S 0496 4300 1000)",3.4,1,95,38.8533,-123.0403,0,"Hopland",""
"UTM:(10S 0497 4240 1000)",2.6,2,64,38.3126,-123.0286,0,"Bodega Bay",""
"UTM:(10S 0497 4257 1000)",2.9,1,69,38.4658,-123.0286,0,"Villa Grande",""
"UTM:(10S 0497 4260 1000)",4.1,1,70,38.4929,-123.0286,0,"Guerneville",""
"UTM:(10S 0497 4261 1000)",3.8,1,71,38.5019,-123.0286,0,"Cazadero",""
"UTM:(10S 0497 4294 1000)",2.0,1,90,38.7993,-123.0288,0,"Cloverdale",""
"UTM:(10S 0497 4295 1000)",2.4,3,91,38.8083,-123.0288,0,"Cloverdale",""
"UTM:(10S 0497 4296 1000)",3.4,1,92,38.8173,-123.0288,0,"Cloverdale",""
"UTM:(10S 0498 4240 1000)",3.8,2,63,38.3126,-123.0172,0,"Bodega Bay",""
"UTM:(10S 0498 4257 1000)",4.7,2,68,38.4658,-123.0172,0,"Monte Rio",""
"UTM:(10S 0498 4260 1000)",3.3,3,69,38.4929,-123.0172,0,"Guerneville",""
"UTM:(10S 0498 4293 1000)",3.1,3,89,38.7902,-123.0172,0,"Cloverdale",""
"UTM:(10S 0498 4294 1000)",2.0,2,90,38.7993,-123.0172,0,"Cloverdale",""
"UTM:(10S 0499 4236 1000)",2.2,1,62,38.2766,-123.0057,0,"Dillon Beach",""
"UTM:(10S 0499 4257 1000)",3.2,2,67,38.4658,-123.0058,0,"Monte Rio",""
"UTM:(10S 0499 4261 1000)",2.7,1,69,38.5019,-123.0058,0,"Guerneville",""
"UTM:(10S 0499 4282 1000)",2.6,1,81,38.6911,-123.0058,0,"Geyserville",""
"UTM:(10S 0499 4290 1000)",2.0,2,86,38.7632,-123.0058,0,"Cloverdale",""
"UTM:(10S 0500 4258 1000)",5.0,1,67,38.4748,-122.9942,0,"Monte Rio",""
"UTM:(10S 0500 4261 1000)",3.9,6,68,38.5019,-122.9942,0,"Guerneville",""
"UTM:(10S 0500 4262 1000)",3.9,3,68,38.5109,-122.9942,0,"Guerneville",""
"UTM:(10S 0500 4263 1000)",3.4,1,69,38.5199,-122.9942,0,"Guerneville",""
"UTM:(10S 0501 4244 1000)",3.1,1,61,38.3486,-122.9828,0,"Occidental",""
"UTM:(10S 0501 4261 1000)",3.1,1,67,38.5019,-122.9828,0,"Guerneville",""
"UTM:(10S 0501 4262 1000)",4.8,2,68,38.5109,-122.9828,0,"Guerneville",""
"UTM:(10S 0501 4263 1000)",4.9,4,68,38.5199,-122.9828,0,"Rio Nido",""
"UTM:(10S 0501 4290 1000)",2.0,1,85,38.7632,-122.9828,0,"Cloverdale",""
"UTM:(10S 0502 4244 1000)",2.7,1,60,38.3486,-122.9714,0,"Bodega",""
"UTM:(10S 0502 4248 1000)",4.1,1,61,38.3847,-122.9714,0,"Occidental",""
"UTM:(10S 0502 4249 1000)",3.1,1,61,38.3937,-122.9714,0,"Occidental",""
"UTM:(10S 0502 4250 1000)",4.3,1,62,38.4027,-122.9714,0,"Occidental",""
"UTM:(10S 0502 4251 1000)",4.1,1,62,38.4117,-122.9714,0,"Occidental",""
"UTM:(10S 0502 4263 1000)",3.6,2,67,38.5199,-122.9714,0,"Guerneville",""
"UTM:(10S 0502 4291 1000)",2.0,1,85,38.7722,-122.9712,0,"Cloverdale",""
"UTM:(10S 0503 4251 1000)",3.4,1,61,38.4117,-122.9599,0,"Occidental",""
"UTM:(10S 0503 4253 1000)",3.1,1,62,38.4298,-122.9599,0,"Occidental",""
"UTM:(10S 0503 4260 1000)",2.0,1,65,38.4928,-122.9598,0,"Guerneville",""
"UTM:(10S 0505 4249 1000)",2.7,1,59,38.3937,-122.9370,0,"Occidental",""
"UTM:(10S 0505 4260 1000)",3.2,3,63,38.4928,-122.9369,0,"Forestville",""
"UTM:(10S 0505 4261 1000)",3.1,2,64,38.5018,-122.9369,0,"Forestville",""
"UTM:(10S 0505 4323 1000)",2.0,1,109,39.0606,-122.9364,0,"Lakeport",""
"UTM:(10S 0506 4251 1000)",3.1,1,58,38.4117,-122.9255,0,"Sebastopol",""
"UTM:(10S 0506 4256 1000)",2.7,1,60,38.4568,-122.9255,0,"Sebastopol",""
"UTM:(10S 0506 4261 1000)",3.4,4,63,38.5018,-122.9255,0,"Mendocino NTL Forest",""
"UTM:(10S 0506 4262 1000)",3.3,3,63,38.5109,-122.9255,0,"Forestville",""
"UTM:(10S 0506 4322 1000)",1.0,1,107,39.0515,-122.9249,0,"Lakeport",""
"UTM:(10S 0507 4226 1000)",3.4,1,53,38.1864,-122.9144,0,"Marshall",""
"UTM:(10S 0507 4252 1000)",3.8,1,58,38.4207,-122.9141,0,"Sebastopol",""
"UTM:(10S 0507 4257 1000)",2.2,1,60,38.4658,-122.9141,0,"Forestville",""
"UTM:(10S 0507 4260 1000)",2.9,1,61,38.4928,-122.9140,0,"Forestville",""
"UTM:(10S 0507 4272 1000)",3.8,1,68,38.6010,-122.9138,0,"Healdsburg",""
"UTM:(10S 0507 4284 1000)",2.2,1,76,38.7091,-122.9137,0,"Geyserville",""
"UTM:(10S 0508 4233 1000)",5.1,2,53,38.2495,-122.9029,0,"Tomales",""
"UTM:(10S 0508 4247 1000)",2.9,2,55,38.3757,-122.9027,0,"Sebastopol",""
"UTM:(10S 0508 4251 1000)",4.3,1,57,38.4117,-122.9026,0,"Sebastopol",""
"UTM:(10S 0508 4253 1000)",3.1,1,57,38.4297,-122.9026,0,"Sebastopol",""
"UTM:(10S 0508 4255 1000)",3.4,1,58,38.4477,-122.9026,0,"Sebastopol",""
"UTM:(10S 0508 4258 1000)",5.3,1,60,38.4748,-122.9025,0,"Forestville",""
"UTM:(10S 0508 4259 1000)",3.4,1,60,38.4838,-122.9025,0,"Forestville",""
"UTM:(10S 0508 4260 1000)",1.0,1,61,38.4928,-122.9025,0,"Forestville",""
"UTM:(10S 0508 4284 1000)",3.8,1,76,38.7091,-122.9023,0,"Geyserville",""
"UTM:(10S 0509 4250 1000)",3.3,2,55,38.4027,-122.8912,0,"Sebastopol",""
"UTM:(10S 0509 4251 1000)",4.3,2,56,38.4117,-122.8912,0,"Sebastopol",""
"UTM:(10S 0509 4252 1000)",3.8,1,56,38.4207,-122.8912,0,"Sebastopol",""
"UTM:(10S 0509 4256 1000)",5.0,1,58,38.4567,-122.8912,0,"Sebastopol",""
"UTM:(10S 0509 4257 1000)",5.2,1,58,38.4658,-122.8911,0,"Sebastopol",""
"UTM:(10S 0509 4258 1000)",3.7,4,59,38.4748,-122.8911,0,"Forestville",""
"UTM:(10S 0509 4259 1000)",4.1,2,59,38.4838,-122.8911,0,"Forestville",""
"UTM:(10S 0509 4261 1000)",4.1,1,60,38.5018,-122.8911,0,"Healdsburg",""
"UTM:(10S 0509 4273 1000)",3.1,1,67,38.6100,-122.8909,0,"Healdsburg",""
"UTM:(10S 0509 4277 1000)",3.8,1,70,38.6460,-122.8909,0,"Healdsburg",""
"UTM:(10S 0510 4233 1000)",3.8,1,51,38.2495,-122.8800,0,"Petaluma",""
"UTM:(10S 0510 4238 1000)",3.4,1,51,38.2945,-122.8799,0,"Petaluma",""
"UTM:(10S 0510 4246 1000)",4.1,1,53,38.3666,-122.8798,0,"Sebastopol",""
"UTM:(10S 0510 4248 1000)",3.4,1,54,38.3846,-122.8798,0,"Sebastopol",""
