# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 000 424 10000)",2.0,2,334,38.2168,-122.6525,0,"UTM:(11S 000 424 10000)",""
"UTM:(11S 000 425 10000)",2.0,7,343,38.3064,-122.6594,0,"UTM:(11S 000 425 10000)",""
"UTM:(11S 000 427 10000)",2.0,1,360,38.4858,-122.6735,0,"UTM:(11S 000 427 10000)",""
"UTM:(11S 001 415 10000)",2.3,5,257,37.4147,-122.4786,0,"UTM:(11S 001 415 10000)",""
"UTM:(11S 001 416 10000)",2.0,6,264,37.5045,-122.4852,0,"UTM:(11S 001 416 10000)",""
"UTM:(11S 001 417 10000)",2.0,6,272,37.5942,-122.4917,0,"UTM:(11S 001 417 10000)",""
"UTM:(11S 001 418 10000)",2.3,24,280,37.6839,-122.4984,0,"UTM:(11S 001 418 10000)",""
"UTM:(11S 001 419 10000)",2.2,60,288,37.7737,-122.5050,0,"UTM:(11S 001 419 10000)",""
"UTM:(11S 001 420 10000)",2.0,6,296,37.8634,-122.5118,0,"UTM:(11S 001 420 10000)",""
"UTM:(11S 001 421 10000)",2.0,7,304,37.9531,-122.5185,0,"UTM:(11S 001 421 10000)",""
"UTM:(11S 001 422 10000)",2.0,6,312,38.0428,-122.5252,0,"UTM:(11S 001 422 10000)",""
"UTM:(11S 001 423 10000)",1.0,1,321,38.1325,-122.5320,0,"UTM:(11S 001 423 10000)",""
"UTM:(11S 001 426 10000)",1.0,1,346,38.4016,-122.5524,0,"UTM:(11S 001 426 10000)",""
"UTM:(11S 001 431 10000)",1.0,1,390,38.8501,-122.5873,0,"UTM:(11S 001 431 10000)",""
"UTM:(11S 002 413 10000)",3.3,2,236,37.2404,-122.3533,0,"UTM:(11S 002 413 10000)",""
"UTM:(11S 002 414 10000)",2.7,1,243,37.3302,-122.3597,0,"UTM:(11S 002 414 10000)",""
"UTM:(11S 002 416 10000)",2.7,7,258,37.5097,-122.3725,0,"UTM:(11S 002 416 10000)",""
"UTM:(11S 002 417 10000)",2.6,55,266,37.5995,-122.3790,0,"UTM:(11S 002 417 10000)",""
"UTM:(11S 002 418 10000)",2.6,46,274,37.6891,-122.3855,0,"UTM:(11S 002 418 10000)",""
"UTM:(11S 002 419 10000)",2.6,623,282,37.7789,-122.3920,0,"UTM:(11S 002 419 10000)",""
"UTM:(11S 002 421 10000)",2.5,10,298,37.9583,-122.4051,0,"UTM:(11S 002 421 10000)",""
"UTM:(11S 002 424 10000)",3.4,1,324,38.2275,-122.4250,0,"UTM:(11S 002 424 10000)",""
