# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11T 0437 4517 1000)",2.7,1,244,40.8062,-117.7410,0,"UTM:(11T 0437 4517 1000)",""
"UTM:(11T 0437 4519 1000)",3.3,1,244,40.8242,-117.7412,0,"UTM:(11T 0437 4519 1000)",""
"UTM:(11T 0438 4536 1000)",4.3,2,241,40.9774,-117.7310,0,"UTM:(11T 0438 4536 1000)",""
"UTM:(11T 0440 4533 1000)",2.7,1,239,40.9505,-117.7070,0,"UTM:(11T 0440 4533 1000)",""
"UTM:(11T 0440 4534 1000)",2.0,1,239,40.9595,-117.7070,0,"UTM:(11T 0440 4534 1000)",""
"UTM:(11T 0443 4569 1000)",2.1,1,235,41.2750,-117.6746,0,"UTM:(11T 0443 4569 1000)",""
"UTM:(11T 0461 4859 1000)",2.0,1,372,43.8876,-117.4793,0,"UTM:(11T 0461 4859 1000)",""
"UTM:(11T 0496 4767 1000)",3.1,1,278,43.0602,-117.0429,0,"UTM:(11T 0496 4767 1000)",""
"UTM:(11T 0500 4875 1000)",2.0,1,365,44.0327,-116.9938,0,"UTM:(11T 0500 4875 1000)",""
"UTM:(11T 0503 4497 1000)",2.8,2,185,40.6283,-116.9586,0,"UTM:(11T 0503 4497 1000)",""
"UTM:(11T 0503 4498 1000)",3.7,3,184,40.6373,-116.9586,0,"UTM:(11T 0503 4498 1000)",""
"UTM:(11T 0504 4498 1000)",4.3,2,183,40.6373,-116.9468,0,"UTM:(11T 0504 4498 1000)",""
"UTM:(11T 0504 4499 1000)",4.3,1,183,40.6463,-116.9468,0,"UTM:(11T 0504 4499 1000)",""
"UTM:(11T 0504 4848 1000)",2.7,1,339,43.7895,-116.9441,0,"UTM:(11T 0504 4848 1000)",""
"UTM:(11T 0505 4498 1000)",3.7,5,182,40.6373,-116.9350,0,"UTM:(11T 0505 4498 1000)",""
"UTM:(11T 0505 4499 1000)",3.1,1,182,40.6463,-116.9350,0,"UTM:(11T 0505 4499 1000)",""
"UTM:(11T 0505 4833 1000)",2.0,1,326,43.6545,-116.9318,0,"UTM:(11T 0505 4833 1000)",""
"UTM:(11T 0506 4831 1000)",2.2,1,324,43.6365,-116.9194,0,"UTM:(11T 0506 4831 1000)",""
"UTM:(11T 0508 4496 1000)",3.8,1,180,40.6193,-116.8995,0,"UTM:(11T 0508 4496 1000)",""
"UTM:(11T 0508 4893 1000)",2.7,1,377,44.1947,-116.8937,0,"UTM:(11T 0508 4893 1000)",""
"UTM:(11T 0510 4486 1000)",3.8,1,182,40.5292,-116.8760,0,"UTM:(11T 0510 4486 1000)",""
