-120.87,35.64,3.8
-120.53,38.06,1
-120.17,35.65,4
-120.63,34.57,5
-120.59,35.11,7.3
-120.67,35.48,4.9
-119.01,35.37,4.5
-117.01,34.89,1
-120.54,35.07,6.3
-120.51,34.91,5.5
-120.39,34.81,4.5
-121.8,36.27,4
-122.12,37.12,1
-120.19,34.61,5
-119.46,35.4,4.3
-121.08,35.56,5.6
-121.92,36.55,3
-119.51,34.39,4.5
-121.75,36.76,4
-120.89,35.44,5.5
-120.29,35.72,4.1
-120.36,36.13,4.3
-120.45,34.45,5.4
-120.19,37.71,1
-120.52,35.51,4.1
-121.07,37.39,1
-121.74,38.54,1
-117.97,34.13,1
-120.61,35.2,5.3
-119.54,35.17,4
-118.91,34.39,2
-119.78,36.73,3
-120.21,34.47,3.5
-121.55,37,2
-119.82,34.43,3.8
-121.44,36.5,4.4
-118.85,34.79,3.5
-120.57,34.97,7
-120.59,35.1,7
-119.64,36.32,2
-121.02,35.5,4.3
-122.08,37.66,1
-121.4,36.85,4.4
-120.39,35.12,6.3
-118.43,35.66,1
-120.77,38.34,1
-119.85,37.56,1
-118.42,35.75,3.3
-121.12,36.21,4.5
-120.21,35.36,1
-120.22,34.5,4
-121.27,37.82,1
-121.08,35.94,4.9
-121.27,38.13,1
-120.45,34.63,7.4
-118.19,33.77,1
-120.27,34.74,7.4
-118.24,34.05,2
-120.84,37.05,2.8
-121.96,37.23,1
-120.11,34.66,6
-121.54,36.02,4.9
-119.96,37.48,1
-119.62,35.3,4.6
-120.38,36.75,1
-118.17,35.05,1
-118,34.14,1
-121.89,36.6,4.6
-121,37.13,2.3
-120.64,35.35,6.1
-118.09,33.75,4
-121.02,37.31,1
-120.47,35.04,7.3
-120.84,37.76,1
-122.27,37.8,1
-120.61,35.09,6.1
-117.31,34.03,1
-119.2,36.53,1
-119.17,34.19,6
-118.11,34.57,1
-122.14,37.44,1
-120.43,35.89,4
-120.65,35.63,6
-121.42,38.38,4.6
-120.64,35.14,5.5
-120.47,34.44,2.5
-117.74,34.05,1
-120.75,35.17,3.8
-119.01,36.06,2.8
-120.37,35.3,4
-120.7,36.18,4.6
-117.65,35.36,1
-118.38,33.84,2
-119.45,36.59,1
-119.67,35.32,4.5
-117.37,33.98,1
-121.65,36.67,4
-117.28,34.1,1
-117.16,32.71,1
-118.1,34.09,1
-121.88,37.33,1
-116.6,33.07,5.3
-121.02,36.12,4
-120.65,35.28,6.1
-118.29,33.73,1
-121.18,35.64,4
-119.55,36.7,4
-117.86,33.74,1
-119.69,34.42,3.3
-122.03,36.97,3.5
-120.6,35.38,5
-120.43,34.95,6.4
-119.05,34.35,4.6
-120.07,34.61,4.3
-119.31,34.68,4
-119.61,36.57,1
-118.95,34.38,4
-119.98,35.35,4.6
-121.15,36.42,3.3
-120.13,34.59,4.1
-120.38,37.98,1
-119.06,34.75,1
-121.29,37.95,1
-120.6,34.68,6.5
-120.1,34.46,3
-118.44,35.13,4
-120.7,35.54,4.5
-118.97,36.11,2
-119.29,34.28,4.3
-118.41,33.74,1
-119.29,36.33,1
-119.81,34.95,4.3
-119.29,34.5,2
-120.43,34.6,6.1
-118.03,33.97,2
-121.77,38.67,1
-119.53,37.86,2
-120.45,34.63,7.4
-119.69,34.42,3
-120.43,34.95,7
-120.45,34.63,7.1
-118.14,34.14,2.5
-121.12,34.55,5
-121.88,37.33,2.5
-120.69,35.74,4
-120.43,34.95,6.9
-118.49,34.01,2.5
-119.13,34.37,2.5
-120.51,34.91,4.5
-120.45,34.63,7.1
-120.45,34.63,7.5
-121.65,36.72,4.3
-120.43,34.6,7.4
-120.59,35.11,4.5
-120.45,34.6,7.5
-120.27,34.74,7.3
-120.65,35.28,2.5
-119.69,34.42,2.5
-120.43,34.95,6.5
-120.6,34.68,7
