# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 001 419 10000)",2.2,1,533,37.7737,-122.5050,0,"UTM:(11S 001 419 10000)",""
"UTM:(11S 001 420 10000)",1.0,1,541,37.8634,-122.5118,0,"UTM:(11S 001 420 10000)",""
"UTM:(11S 002 419 10000)",2.0,2,527,37.7789,-122.3920,0,"UTM:(11S 002 419 10000)",""
"UTM:(11S 003 419 10000)",3.4,1,520,37.7840,-122.2790,0,"UTM:(11S 003 419 10000)",""
"UTM:(11S 004 410 10000)",3.8,1,446,36.9811,-122.1105,0,"UTM:(11S 004 410 10000)",""
"UTM:(11S 004 415 10000)",1.0,1,483,37.4299,-122.1410,0,"UTM:(11S 004 415 10000)",""
"UTM:(11S 005 413 10000)",4.2,4,461,37.2553,-122.0164,0,"UTM:(11S 005 413 10000)",""
"UTM:(11S 005 421 10000)",2.0,1,524,37.9736,-122.0650,0,"UTM:(11S 005 421 10000)",""
"UTM:(11S 006 418 10000)",2.0,1,494,37.7090,-121.9335,0,"UTM:(11S 006 418 10000)",""
"UTM:(11S 008 407 10000)",2.0,1,397,36.7300,-121.6463,0,"UTM:(11S 008 407 10000)",""
"UTM:(11S 011 427 10000)",2.0,1,545,38.5401,-121.4167,0,"UTM:(11S 011 427 10000)",""
"UTM:(11S 012 394 10000)",2.0,1,282,35.5778,-121.1376,0,"UTM:(11S 012 394 10000)",""
"UTM:(11S 012 421 10000)",2.2,1,487,38.0051,-121.2705,0,"UTM:(11S 012 421 10000)",""
"UTM:(11S 013 394 10000)",1.0,1,274,35.5815,-121.0275,0,"UTM:(11S 013 394 10000)",""
"UTM:(11S 014 417 10000)",5.3,3,443,37.6535,-121.0237,0,"UTM:(11S 014 417 10000)",""
"UTM:(11S 015 391 10000)",4.2,4,241,35.3187,-120.7946,0,"UTM:(11S 015 391 10000)",""
"UTM:(11S 015 417 10000)",2.0,1,438,37.6574,-120.9106,0,"UTM:(11S 015 417 10000)",""
"UTM:(11S 015 434 10000)",2.0,1,594,39.1858,-120.9940,0,"UTM:(11S 015 434 10000)",""
"UTM:(11S 016 389 10000)",3.9,4,222,35.1422,-120.6766,0,"UTM:(11S 016 389 10000)",""
"UTM:(11S 016 390 10000)",2.0,2,227,35.2321,-120.6807,0,"UTM:(11S 016 390 10000)",""
"UTM:(11S 016 391 10000)",2.4,2,232,35.3222,-120.6848,0,"UTM:(11S 016 391 10000)",""
"UTM:(11S 016 393 10000)",3.3,3,244,35.5021,-120.6930,0,"UTM:(11S 016 393 10000)",""
"UTM:(11S 016 394 10000)",5.6,3,250,35.5921,-120.6971,0,"UTM:(11S 016 394 10000)",""
"UTM:(11S 016 415 10000)",3.1,3,416,37.4812,-120.7884,0,"UTM:(11S 016 415 10000)",""
"UTM:(11S 017 385 10000)",2.2,1,196,34.7854,-120.5515,0,"UTM:(11S 017 385 10000)",""
"UTM:(11S 017 388 10000)",4.6,3,208,35.0554,-120.5632,0,"UTM:(11S 017 388 10000)",""
"UTM:(11S 017 389 10000)",3.7,16,213,35.1454,-120.5671,0,"UTM:(11S 017 389 10000)",""
"UTM:(11S 017 414 10000)",2.7,1,402,37.3948,-120.6711,0,"UTM:(11S 017 414 10000)",""
"UTM:(11S 018 383 10000)",3.1,2,180,34.6085,-120.4350,0,"UTM:(11S 018 383 10000)",""
"UTM:(11S 018 384 10000)",4.2,9,183,34.6985,-120.4386,0,"UTM:(11S 018 384 10000)",""
"UTM:(11S 018 386 10000)",3.5,10,191,34.8786,-120.4462,0,"UTM:(11S 018 386 10000)",""
"UTM:(11S 018 387 10000)",3.3,4,195,34.9685,-120.4499,0,"UTM:(11S 018 387 10000)",""
"UTM:(11S 018 388 10000)",3.8,1,200,35.0586,-120.4537,0,"UTM:(11S 018 388 10000)",""
"UTM:(11S 019 413 10000)",2.7,1,385,37.3117,-120.4414,0,"UTM:(11S 019 413 10000)",""
"UTM:(11S 020 383 10000)",4.6,2,161,34.6144,-120.2172,0,"UTM:(11S 020 383 10000)",""
"UTM:(11S 021 383 10000)",5.4,3,152,34.6173,-120.1082,0,"UTM:(11S 021 383 10000)",""
"UTM:(11S 022 381 10000)",5.4,1,137,34.4399,-119.9929,0,"UTM:(11S 022 381 10000)",""
"UTM:(11S 022 384 10000)",5.4,1,146,34.7101,-120.0026,0,"UTM:(11S 022 384 10000)",""
"UTM:(11S 022 406 10000)",3.4,1,309,36.6908,-120.0778,0,"UTM:(11S 022 406 10000)",""
"UTM:(11S 023 381 10000)",5.7,25,127,34.4425,-119.8842,0,"UTM:(11S 023 381 10000)",""
"UTM:(11S 024 380 10000)",3.4,1,116,34.3550,-119.7724,0,"UTM:(11S 024 380 10000)",""
"UTM:(11S 024 381 10000)",5.2,33,118,34.4451,-119.7755,0,"UTM:(11S 024 381 10000)",""
"UTM:(11S 024 382 10000)",4.3,1,121,34.5351,-119.7784,0,"UTM:(11S 024 382 10000)",""
"UTM:(11S 024 393 10000)",5.3,1,187,35.5259,-119.8122,0,"UTM:(11S 024 393 10000)",""
"UTM:(11S 024 402 10000)",4.2,4,264,36.3363,-119.8410,0,"UTM:(11S 024 402 10000)",""
"UTM:(11S 024 407 10000)",2.2,1,310,36.7865,-119.8576,0,"UTM:(11S 024 407 10000)",""
"UTM:(11S 024 408 10000)",1.0,1,319,36.8765,-119.8610,0,"UTM:(11S 024 408 10000)",""
"UTM:(11S 024 417 10000)",2.5,1,404,37.6868,-119.8918,0,"UTM:(11S 024 417 10000)",""
"UTM:(11S 025 380 10000)",5.6,3,106,34.3574,-119.6638,0,"UTM:(11S 025 380 10000)",""
"UTM:(11S 025 381 10000)",5.1,45,108,34.4475,-119.6667,0,"UTM:(11S 025 381 10000)",""
"UTM:(11S 025 402 10000)",4.3,2,260,36.3389,-119.7297,0,"UTM:(11S 025 402 10000)",""
"UTM:(11S 025 407 10000)",2.0,3,306,36.7892,-119.7456,0,"UTM:(11S 025 407 10000)",""
"UTM:(11S 025 408 10000)",3.4,3,316,36.8792,-119.7489,0,"UTM:(11S 025 408 10000)",""
"UTM:(11S 026 379 10000)",3.8,1,95,34.2696,-119.5525,0,"UTM:(11S 026 379 10000)",""
"UTM:(11S 026 380 10000)",3.1,1,96,34.3597,-119.5553,0,"UTM:(11S 026 380 10000)",""
"UTM:(11S 026 381 10000)",5.2,5,99,34.4498,-119.5580,0,"UTM:(11S 026 381 10000)",""
"UTM:(11S 026 402 10000)",4.2,3,256,36.3413,-119.6184,0,"UTM:(11S 026 402 10000)",""
"UTM:(11S 026 405 10000)",3.1,1,284,36.6116,-119.6275,0,"UTM:(11S 026 405 10000)",""
"UTM:(11S 026 406 10000)",4.1,1,294,36.7017,-119.6306,0,"UTM:(11S 026 406 10000)",""
"UTM:(11S 026 407 10000)",2.5,1,303,36.7916,-119.6337,0,"UTM:(11S 026 407 10000)",""
"UTM:(11S 027 380 10000)",5.5,2,87,34.3620,-119.4466,0,"UTM:(11S 027 380 10000)",""
"UTM:(11S 027 389 10000)",2.9,2,137,35.1728,-119.4706,0,"UTM:(11S 027 389 10000)",""
"UTM:(11S 027 412 10000)",3.9,1,348,37.2443,-119.5367,0,"UTM:(11S 027 412 10000)",""
"UTM:(11S 028 379 10000)",5.8,5,76,34.2739,-119.3354,0,"UTM:(11S 028 379 10000)",""
"UTM:(11S 028 380 10000)",5.0,4,77,34.3640,-119.3379,0,"UTM:(11S 028 380 10000)",""
"UTM:(11S 028 381 10000)",4.3,5,80,34.4542,-119.3405,0,"UTM:(11S 028 381 10000)",""
"UTM:(11S 028 382 10000)",4.3,1,84,34.5443,-119.3430,0,"UTM:(11S 028 382 10000)",""
"UTM:(11S 028 394 10000)",3.4,1,175,35.6255,-119.3740,0,"UTM:(11S 028 394 10000)",""
"UTM:(11S 028 400 10000)",1.0,1,230,36.1659,-119.3903,0,"UTM:(11S 028 400 10000)",""
"UTM:(11S 028 402 10000)",3.8,1,249,36.3461,-119.3958,0,"UTM:(11S 028 402 10000)",""
"UTM:(11S 028 409 10000)",4.3,1,317,36.9766,-119.4154,0,"UTM:(11S 028 409 10000)",""
"UTM:(11S 029 378 10000)",6.3,49,66,34.1859,-119.2245,0,"UTM:(11S 029 378 10000)",""
"UTM:(11S 029 379 10000)",5.9,62,66,34.2760,-119.2268,0,"UTM:(11S 029 379 10000)",""
"UTM:(11S 029 381 10000)",5.3,14,71,34.4562,-119.2316,0,"UTM:(11S 029 381 10000)",""
"UTM:(11S 029 400 10000)",4.6,2,227,36.1681,-119.2792,0,"UTM:(11S 029 400 10000)",""
"UTM:(11S 029 401 10000)",2.0,1,237,36.2582,-119.2818,0,"UTM:(11S 029 401 10000)",""
"UTM:(11S 029 402 10000)",3.0,5,247,36.3483,-119.2844,0,"UTM:(11S 029 402 10000)",""
"UTM:(11S 030 378 10000)",6.1,10,56,34.1878,-119.1160,0,"UTM:(11S 030 378 10000)",""
"UTM:(11S 030 379 10000)",6.3,10,57,34.2779,-119.1183,0,"UTM:(11S 030 379 10000)",""
"UTM:(11S 030 380 10000)",6.0,11,59,34.3680,-119.1206,0,"UTM:(11S 030 380 10000)",""
"UTM:(11S 030 381 10000)",6.4,1,63,34.4581,-119.1228,0,"UTM:(11S 030 381 10000)",""
"UTM:(11S 030 391 10000)",4.0,16,140,35.3593,-119.1462,0,"UTM:(11S 030 391 10000)",""
"UTM:(11S 030 392 10000)",4.2,1,149,35.4493,-119.1486,0,"UTM:(11S 030 392 10000)",""
"UTM:(11S 031 376 10000)",6.4,1,51,34.0093,-119.0033,0,"UTM:(11S 031 376 10000)",""
"UTM:(11S 031 377 10000)",4.1,1,48,34.0995,-119.0054,0,"UTM:(11S 031 377 10000)",""
"UTM:(11S 031 378 10000)",6.6,50,47,34.1895,-119.0076,0,"UTM:(11S 031 378 10000)",""
"UTM:(11S 031 379 10000)",6.1,19,47,34.2797,-119.0097,0,"UTM:(11S 031 379 10000)",""
"UTM:(11S 031 380 10000)",4.9,2,50,34.3698,-119.0119,0,"UTM:(11S 031 380 10000)",""
"UTM:(11S 031 389 10000)",3.8,1,117,35.1809,-119.0317,0,"UTM:(11S 031 389 10000)",""
"UTM:(11S 031 390 10000)",5.0,10,127,35.2711,-119.0339,0,"UTM:(11S 031 390 10000)",""
"UTM:(11S 031 391 10000)",4.3,24,136,35.3611,-119.0361,0,"UTM:(11S 031 391 10000)",""
"UTM:(11S 031 392 10000)",4.8,12,145,35.4513,-119.0384,0,"UTM:(11S 031 392 10000)",""
"UTM:(11S 031 399 10000)",2.9,2,213,36.0820,-119.0546,0,"UTM:(11S 031 399 10000)",""
"UTM:(11S 031 400 10000)",2.5,1,223,36.1721,-119.0570,0,"UTM:(11S 031 400 10000)",""
"UTM:(11S 032 376 10000)",4.1,1,43,34.0110,-118.8951,0,"UTM:(11S 032 376 10000)",""
"UTM:(11S 032 377 10000)",7.0,4,39,34.1012,-118.8971,0,"UTM:(11S 032 377 10000)",""
"UTM:(11S 032 378 10000)",6.8,97,38,34.1913,-118.8991,0,"UTM:(11S 032 378 10000)",""
"UTM:(11S 032 379 10000)",6.9,36,38,34.2814,-118.9012,0,"UTM:(11S 032 379 10000)",""
"UTM:(11S 032 380 10000)",8.0,20,42,34.3716,-118.9032,0,"UTM:(11S 032 380 10000)",""
"UTM:(11S 032 385 10000)",5.7,4,78,34.8222,-118.9135,0,"UTM:(11S 032 385 10000)",""
"UTM:(11S 032 391 10000)",3.6,7,133,35.3629,-118.9262,0,"UTM:(11S 032 391 10000)",""
"UTM:(11S 032 392 10000)",5.0,2,143,35.4531,-118.9283,0,"UTM:(11S 032 392 10000)",""
"UTM:(11S 032 416 10000)",3.8,1,380,37.6154,-118.9828,0,"UTM:(11S 032 416 10000)",""
"UTM:(11S 033 377 10000)",7.1,15,31,34.1028,-118.7887,0,"UTM:(11S 033 377 10000)",""
"UTM:(11S 033 378 10000)",7.1,73,29,34.1929,-118.7906,0,"UTM:(11S 033 378 10000)",""
"UTM:(11S 033 379 10000)",8.0,117,30,34.2831,-118.7926,0,"UTM:(11S 033 379 10000)",""
"UTM:(11S 034 376 10000)",5.6,7,31,34.0142,-118.6786,0,"UTM:(11S 034 376 10000)",""
"UTM:(11S 034 377 10000)",7.5,20,25,34.1043,-118.6804,0,"UTM:(11S 034 377 10000)",""
"UTM:(11S 034 378 10000)",7.9,64,22,34.1945,-118.6822,0,"UTM:(11S 034 378 10000)",""
"UTM:(11S 034 379 10000)",8.6,97,23,34.2846,-118.6840,0,"UTM:(11S 034 379 10000)",""
"UTM:(11S 034 381 10000)",7.6,5,36,34.4649,-118.6876,0,"UTM:(11S 034 381 10000)",""
"UTM:(11S 035 376 10000)",6.8,14,28,34.0156,-118.5703,0,"UTM:(11S 035 376 10000)",""
"UTM:(11S 035 377 10000)",7.5,23,21,34.1058,-118.5720,0,"UTM:(11S 035 377 10000)",""
"UTM:(11S 035 378 10000)",8.5,321,18,34.1959,-118.5737,0,"UTM:(11S 035 378 10000)",""
"UTM:(11S 035 379 10000)",8.5,136,20,34.2861,-118.5754,0,"UTM:(11S 035 379 10000)",""
"UTM:(11S 035 380 10000)",8.4,81,25,34.3762,-118.5770,0,"UTM:(11S 035 380 10000)",""
"UTM:(11S 035 381 10000)",7.6,31,33,34.4663,-118.5787,0,"UTM:(11S 035 381 10000)",""
"UTM:(11S 035 388 10000)",4.2,1,99,35.0974,-118.5908,0,"UTM:(11S 035 388 10000)",""
"UTM:(11S 035 389 10000)",3.8,2,109,35.1875,-118.5926,0,"UTM:(11S 035 389 10000)",""
"UTM:(11S 036 373 10000)",4.9,9,55,33.7464,-118.4575,0,"UTM:(11S 036 373 10000)",""
"UTM:(11S 036 374 10000)",5.0,1,46,33.8366,-118.4590,0,"UTM:(11S 036 374 10000)",""
"UTM:(11S 036 375 10000)",6.4,48,37,33.9268,-118.4605,0,"UTM:(11S 036 375 10000)",""
"UTM:(11S 036 376 10000)",7.6,390,29,34.0170,-118.4621,0,"UTM:(11S 036 376 10000)",""
