# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S -404 304 10000)",1.0,1,1242,27.2336,-126.0579,0,"UTM:(11S -404 304 10000)",""
"UTM:(11S 000 426 10000)",2.2,1,712,38.3961,-122.6664,0,"UTM:(11S 000 426 10000)",""
"UTM:(11S 001 416 10000)",2.7,1,647,37.5045,-122.4852,0,"UTM:(11S 001 416 10000)",""
"UTM:(11S 001 418 10000)",2.7,1,657,37.6839,-122.4984,0,"UTM:(11S 001 418 10000)",""
"UTM:(11S 001 419 10000)",2.0,2,663,37.7737,-122.5050,0,"UTM:(11S 001 419 10000)",""
"UTM:(11S 002 418 10000)",2.0,1,649,37.6891,-122.3855,0,"UTM:(11S 002 418 10000)",""
"UTM:(11S 002 419 10000)",2.5,5,655,37.7789,-122.3920,0,"UTM:(11S 002 419 10000)",""
"UTM:(11S 003 416 10000)",3.4,1,630,37.5148,-122.2599,0,"UTM:(11S 003 416 10000)",""
"UTM:(11S 003 419 10000)",1.0,1,646,37.7840,-122.2790,0,"UTM:(11S 003 419 10000)",""
"UTM:(11S 003 420 10000)",2.0,4,652,37.8738,-122.2853,0,"UTM:(11S 003 420 10000)",""
"UTM:(11S 004 411 10000)",2.0,1,596,37.0709,-122.1166,0,"UTM:(11S 004 411 10000)",""
"UTM:(11S 004 415 10000)",2.0,5,616,37.4299,-122.1410,0,"UTM:(11S 004 415 10000)",""
"UTM:(11S 004 422 10000)",2.2,1,656,38.0584,-122.1848,0,"UTM:(11S 004 422 10000)",""
"UTM:(11S 005 410 10000)",1.0,1,582,36.9858,-121.9986,0,"UTM:(11S 005 410 10000)",""
"UTM:(11S 005 413 10000)",2.0,5,597,37.2553,-122.0164,0,"UTM:(11S 005 413 10000)",""
"UTM:(11S 005 414 10000)",2.2,2,602,37.3451,-122.0224,0,"UTM:(11S 005 414 10000)",""
"UTM:(11S 005 416 10000)",2.0,3,613,37.5246,-122.0344,0,"UTM:(11S 005 416 10000)",""
"UTM:(11S 005 421 10000)",1.0,1,642,37.9736,-122.0650,0,"UTM:(11S 005 421 10000)",""
"UTM:(11S 006 415 10000)",2.2,1,599,37.4395,-121.9158,0,"UTM:(11S 006 415 10000)",""
"UTM:(11S 006 416 10000)",2.0,3,605,37.5294,-121.9217,0,"UTM:(11S 006 416 10000)",""
"UTM:(11S 006 418 10000)",2.0,4,616,37.7090,-121.9335,0,"UTM:(11S 006 418 10000)",""
"UTM:(11S 006 419 10000)",2.2,1,622,37.7988,-121.9395,0,"UTM:(11S 006 419 10000)",""
"UTM:(11S 006 421 10000)",2.0,2,634,37.9784,-121.9516,0,"UTM:(11S 006 421 10000)",""
"UTM:(11S 007 418 10000)",2.7,1,608,37.7137,-121.8205,0,"UTM:(11S 007 418 10000)",""
"UTM:(11S 007 421 10000)",2.0,1,626,37.9831,-121.8382,0,"UTM:(11S 007 421 10000)",""
"UTM:(11S 008 418 10000)",3.1,1,600,37.7182,-121.7075,0,"UTM:(11S 008 418 10000)",""
"UTM:(11S 009 420 10000)",3.1,6,604,37.9025,-121.6055,0,"UTM:(11S 009 420 10000)",""
"UTM:(11S 009 427 10000)",1.0,1,650,38.5312,-121.6455,0,"UTM:(11S 009 427 10000)",""
"UTM:(11S 010 408 10000)",2.2,1,529,36.8284,-121.4282,0,"UTM:(11S 010 408 10000)",""
"UTM:(11S 010 418 10000)",2.0,2,584,37.7271,-121.4813,0,"UTM:(11S 010 418 10000)",""
"UTM:(11S 010 422 10000)",3.1,1,609,38.0865,-121.5032,0,"UTM:(11S 010 422 10000)",""
"UTM:(11S 010 427 10000)",2.7,2,643,38.5358,-121.5310,0,"UTM:(11S 010 427 10000)",""
"UTM:(11S 010 428 10000)",3.1,1,650,38.6256,-121.5367,0,"UTM:(11S 010 428 10000)",""
"UTM:(11S 011 408 10000)",2.2,1,520,36.8325,-121.3163,0,"UTM:(11S 011 408 10000)",""
"UTM:(11S 011 421 10000)",2.0,2,595,38.0010,-121.3841,0,"UTM:(11S 011 421 10000)",""
"UTM:(11S 011 427 10000)",2.0,4,636,38.5401,-121.4167,0,"UTM:(11S 011 427 10000)",""
"UTM:(11S 011 428 10000)",1.0,1,643,38.6300,-121.4222,0,"UTM:(11S 011 428 10000)",""
"UTM:(11S 012 401 10000)",2.0,1,480,36.2072,-121.1706,0,"UTM:(11S 012 401 10000)",""
"UTM:(11S 012 419 10000)",2.0,1,575,37.8254,-121.2601,0,"UTM:(11S 012 419 10000)",""
"UTM:(11S 012 422 10000)",2.0,2,594,38.0950,-121.2758,0,"UTM:(11S 012 422 10000)",""
"UTM:(11S 012 423 10000)",3.1,1,601,38.1849,-121.2810,0,"UTM:(11S 012 423 10000)",""
"UTM:(11S 012 428 10000)",2.0,1,636,38.6343,-121.3076,0,"UTM:(11S 012 428 10000)",""
"UTM:(11S 012 429 10000)",1.0,1,643,38.7240,-121.3131,0,"UTM:(11S 012 429 10000)",""
"UTM:(11S 013 419 10000)",2.0,1,567,37.8294,-121.1467,0,"UTM:(11S 013 419 10000)",""
"UTM:(11S 013 423 10000)",2.0,1,594,38.1890,-121.1671,0,"UTM:(11S 013 423 10000)",""
"UTM:(11S 013 428 10000)",2.2,1,629,38.6384,-121.1930,0,"UTM:(11S 013 428 10000)",""
"UTM:(11S 013 429 10000)",2.0,1,636,38.7283,-121.1983,0,"UTM:(11S 013 429 10000)",""
"UTM:(11S 013 430 10000)",2.2,1,644,38.8182,-121.2036,0,"UTM:(11S 013 430 10000)",""
"UTM:(11S 014 417 10000)",2.5,3,547,37.6535,-121.0237,0,"UTM:(11S 014 417 10000)",""
"UTM:(11S 014 430 10000)",1.0,1,637,38.8222,-121.0887,0,"UTM:(11S 014 430 10000)",""
"UTM:(11S 014 435 10000)",2.1,1,675,39.2717,-121.1148,0,"UTM:(11S 014 435 10000)",""
"UTM:(11S 015 391 10000)",2.0,2,422,35.3187,-120.7946,0,"UTM:(11S 015 391 10000)",""
"UTM:(11S 015 415 10000)",2.2,1,526,37.4775,-120.9012,0,"UTM:(11S 015 415 10000)",""
"UTM:(11S 015 417 10000)",2.0,3,539,37.6574,-120.9106,0,"UTM:(11S 015 417 10000)",""
"UTM:(11S 015 418 10000)",2.0,2,545,37.7473,-120.9153,0,"UTM:(11S 015 418 10000)",""
"UTM:(11S 015 435 10000)",2.0,1,669,39.2756,-120.9991,0,"UTM:(11S 015 435 10000)",""
"UTM:(11S 016 390 10000)",4.0,2,410,35.2321,-120.6807,0,"UTM:(11S 016 390 10000)",""
"UTM:(11S 016 391 10000)",1.0,1,412,35.3222,-120.6848,0,"UTM:(11S 016 391 10000)",""
"UTM:(11S 016 393 10000)",2.9,4,417,35.5021,-120.6930,0,"UTM:(11S 016 393 10000)",""
"UTM:(11S 016 394 10000)",2.0,5,419,35.5921,-120.6971,0,"UTM:(11S 016 394 10000)",""
"UTM:(11S 016 414 10000)",2.0,1,512,37.3912,-120.7838,0,"UTM:(11S 016 414 10000)",""
"UTM:(11S 016 415 10000)",2.0,3,519,37.4812,-120.7884,0,"UTM:(11S 016 415 10000)",""
"UTM:(11S 016 416 10000)",2.1,1,525,37.5711,-120.7929,0,"UTM:(11S 016 416 10000)",""
"UTM:(11S 016 418 10000)",2.0,2,538,37.7510,-120.8020,0,"UTM:(11S 016 418 10000)",""
"UTM:(11S 017 385 10000)",2.0,3,394,34.7854,-120.5515,0,"UTM:(11S 017 385 10000)",""
"UTM:(11S 017 388 10000)",2.0,2,397,35.0554,-120.5632,0,"UTM:(11S 017 388 10000)",""
"UTM:(11S 017 389 10000)",2.3,9,398,35.1454,-120.5671,0,"UTM:(11S 017 389 10000)",""
"UTM:(11S 017 392 10000)",2.0,1,405,35.4154,-120.5789,0,"UTM:(11S 017 392 10000)",""
"UTM:(11S 017 430 10000)",2.0,1,618,38.8338,-120.7439,0,"UTM:(11S 017 430 10000)",""
"UTM:(11S 018 383 10000)",2.0,5,383,34.6085,-120.4350,0,"UTM:(11S 018 383 10000)",""
"UTM:(11S 018 384 10000)",2.0,8,383,34.6985,-120.4386,0,"UTM:(11S 018 384 10000)",""
"UTM:(11S 018 386 10000)",2.0,22,385,34.8786,-120.4462,0,"UTM:(11S 018 386 10000)",""
"UTM:(11S 018 387 10000)",2.8,7,386,34.9685,-120.4499,0,"UTM:(11S 018 387 10000)",""
"UTM:(11S 018 388 10000)",2.0,2,387,35.0586,-120.4537,0,"UTM:(11S 018 388 10000)",""
"UTM:(11S 018 389 10000)",2.0,1,389,35.1486,-120.4575,0,"UTM:(11S 018 389 10000)",""
"UTM:(11S 018 413 10000)",2.0,1,490,37.3083,-120.5540,0,"UTM:(11S 018 413 10000)",""
"UTM:(11S 019 384 10000)",3.6,2,373,34.7016,-120.3297,0,"UTM:(11S 019 384 10000)",""
"UTM:(11S 019 400 10000)",2.0,1,413,36.1418,-120.3895,0,"UTM:(11S 019 400 10000)",""
"UTM:(11S 019 413 10000)",2.7,2,483,37.3117,-120.4414,0,"UTM:(11S 019 413 10000)",""
"UTM:(11S 020 383 10000)",2.0,2,363,34.6144,-120.2172,0,"UTM:(11S 020 383 10000)",""
"UTM:(11S 020 384 10000)",3.6,2,363,34.7045,-120.2207,0,"UTM:(11S 020 384 10000)",""
"UTM:(11S 020 413 10000)",2.0,1,475,37.3149,-120.3287,0,"UTM:(11S 020 413 10000)",""
"UTM:(11S 021 383 10000)",2.4,13,353,34.6173,-120.1082,0,"UTM:(11S 021 383 10000)",""
"UTM:(11S 021 384 10000)",4.3,1,353,34.7073,-120.1116,0,"UTM:(11S 021 384 10000)",""
"UTM:(11S 022 382 10000)",3.1,1,343,34.5299,-119.9961,0,"UTM:(11S 022 382 10000)",""
"UTM:(11S 022 391 10000)",1.0,1,354,35.3404,-120.0257,0,"UTM:(11S 022 391 10000)",""
"UTM:(11S 022 409 10000)",2.0,1,434,36.9609,-120.0887,0,"UTM:(11S 022 409 10000)",""
"UTM:(11S 022 435 10000)",2.2,1,628,39.3007,-120.1890,0,"UTM:(11S 022 435 10000)",""
"UTM:(11S 023 381 10000)",2.7,35,333,34.4425,-119.8842,0,"UTM:(11S 023 381 10000)",""
"UTM:(11S 023 387 10000)",3.4,1,336,34.9829,-119.9030,0,"UTM:(11S 023 387 10000)",""
"UTM:(11S 023 415 10000)",2.0,1,466,37.5040,-119.9978,0,"UTM:(11S 023 415 10000)",""
"UTM:(11S 023 426 10000)",2.0,1,549,38.4939,-120.0384,0,"UTM:(11S 023 426 10000)",""
"UTM:(11S 023 430 10000)",3.8,1,581,38.8539,-120.0537,0,"UTM:(11S 023 430 10000)",""
"UTM:(11S 024 381 10000)",3.0,57,323,34.4451,-119.7755,0,"UTM:(11S 024 381 10000)",""
"UTM:(11S 024 383 10000)",3.4,1,323,34.6252,-119.7814,0,"UTM:(11S 024 383 10000)",""
"UTM:(11S 024 401 10000)",3.7,2,373,36.2463,-119.8377,0,"UTM:(11S 024 401 10000)",""
"UTM:(11S 024 402 10000)",3.4,3,378,36.3363,-119.8410,0,"UTM:(11S 024 402 10000)",""
"UTM:(11S 024 407 10000)",2.8,9,406,36.7865,-119.8576,0,"UTM:(11S 024 407 10000)",""
"UTM:(11S 024 408 10000)",2.0,3,413,36.8765,-119.8610,0,"UTM:(11S 024 408 10000)",""
"UTM:(11S 025 380 10000)",2.0,1,314,34.3574,-119.6638,0,"UTM:(11S 025 380 10000)",""
"UTM:(11S 025 381 10000)",3.0,49,313,34.4475,-119.6667,0,"UTM:(11S 025 381 10000)",""
"UTM:(11S 025 382 10000)",1.0,1,313,34.5375,-119.6696,0,"UTM:(11S 025 382 10000)",""
"UTM:(11S 025 401 10000)",3.7,1,364,36.2488,-119.7266,0,"UTM:(11S 025 401 10000)",""
"UTM:(11S 025 402 10000)",2.0,1,370,36.3389,-119.7297,0,"UTM:(11S 025 402 10000)",""
"UTM:(11S 025 407 10000)",2.2,10,399,36.7892,-119.7456,0,"UTM:(11S 025 407 10000)",""
"UTM:(11S 025 408 10000)",2.0,3,405,36.8792,-119.7489,0,"UTM:(11S 025 408 10000)",""
"UTM:(11S 025 431 10000)",2.0,1,579,38.9497,-119.8270,0,"UTM:(11S 025 431 10000)",""
"UTM:(11S 025 437 10000)",2.0,1,630,39.4897,-119.8488,0,"UTM:(11S 025 437 10000)",""
"UTM:(11S 026 380 10000)",3.1,10,304,34.3597,-119.5553,0,"UTM:(11S 026 380 10000)",""
"UTM:(11S 026 381 10000)",3.0,7,303,34.4498,-119.5580,0,"UTM:(11S 026 381 10000)",""
"UTM:(11S 026 399 10000)",4.1,2,346,36.0712,-119.6094,0,"UTM:(11S 026 399 10000)",""
"UTM:(11S 026 401 10000)",3.1,1,356,36.2514,-119.6154,0,"UTM:(11S 026 401 10000)",""
"UTM:(11S 026 402 10000)",2.6,10,361,36.3413,-119.6184,0,"UTM:(11S 026 402 10000)",""
"UTM:(11S 026 407 10000)",2.7,1,391,36.7916,-119.6337,0,"UTM:(11S 026 407 10000)",""
"UTM:(11S 026 433 10000)",2.2,1,590,39.1325,-119.7188,0,"UTM:(11S 026 433 10000)",""
"UTM:(11S 027 380 10000)",3.4,3,294,34.3620,-119.4466,0,"UTM:(11S 027 380 10000)",""
"UTM:(11S 027 389 10000)",2.8,8,301,35.1728,-119.4706,0,"UTM:(11S 027 389 10000)",""
"UTM:(11S 027 392 10000)",2.7,1,309,35.4430,-119.4788,0,"UTM:(11S 027 392 10000)",""
"UTM:(11S 027 404 10000)",2.9,2,365,36.5239,-119.5130,0,"UTM:(11S 027 404 10000)",""
