# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,Standard deviation,City,State
"UTM:(11S 0352 3782 1000)",2.2,2,197,34.1731,-118.6004,0,0.320,"UTM:(11S 0352 3782 1000)",""
"UTM:(11S 0352 3783 1000)",3.8,1,196,34.1821,-118.6005,0,0.330,"UTM:(11S 0352 3783 1000)",""
"UTM:(11S 0352 3784 1000)",3.6,3,195,34.1911,-118.6008,0,0.311,"UTM:(11S 0352 3784 1000)",""
"UTM:(11S 0352 3785 1000)",3.1,1,194,34.2001,-118.6009,0,0.330,"UTM:(11S 0352 3785 1000)",""
"UTM:(11S 0352 3791 1000)",3.6,4,189,34.2542,-118.6019,0,0.302,"UTM:(11S 0352 3791 1000)",""
"UTM:(11S 0352 3793 1000)",4.1,1,188,34.2722,-118.6022,0,0.330,"UTM:(11S 0352 3793 1000)",""
"UTM:(11S 0352 3807 1000)",2.7,1,176,34.3984,-118.6046,0,0.330,"UTM:(11S 0352 3807 1000)",""
"UTM:(11S 0352 3812 1000)",3.4,1,172,34.4435,-118.6055,0,0.330,"UTM:(11S 0352 3812 1000)",""
"UTM:(11S 0353 3780 1000)",3.1,1,198,34.1551,-118.5892,0,0.330,"UTM:(11S 0353 3780 1000)",""
"UTM:(11S 0353 3781 1000)",3.4,1,197,34.1641,-118.5893,0,0.330,"UTM:(11S 0353 3781 1000)",""
"UTM:(11S 0353 3782 1000)",3.1,1,196,34.1732,-118.5896,0,0.330,"UTM:(11S 0353 3782 1000)",""
"UTM:(11S 0353 3784 1000)",3.4,1,195,34.1912,-118.5899,0,0.330,"UTM:(11S 0353 3784 1000)",""
"UTM:(11S 0353 3785 1000)",2.2,3,194,34.2002,-118.5900,0,0.311,"UTM:(11S 0353 3785 1000)",""
"UTM:(11S 0353 3788 1000)",2.8,3,191,34.2273,-118.5906,0,0.311,"UTM:(11S 0353 3788 1000)",""
"UTM:(11S 0353 3791 1000)",3.1,7,189,34.2543,-118.5910,0,0.277,"UTM:(11S 0353 3791 1000)",""
"UTM:(11S 0353 3804 1000)",3.1,1,178,34.3715,-118.5933,0,0.330,"UTM:(11S 0353 3804 1000)",""
"UTM:(11S 0353 3844 1000)",3.1,1,147,34.7321,-118.6002,0,0.330,"UTM:(11S 0353 3844 1000)",""
"UTM:(11S 0354 3781 1000)",2.0,1,197,34.1643,-118.5786,0,0.330,"UTM:(11S 0354 3781 1000)",""
"UTM:(11S 0354 3782 1000)",2.6,1,196,34.1733,-118.5787,0,0.330,"UTM:(11S 0354 3782 1000)",""
