# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 0295 3781 1000)",2.6,2,422,34.1544,-119.2183,0,"UTM:(11S 0295 3781 1000)",""
"UTM:(11S 0295 3793 1000)",2.0,1,428,34.2626,-119.2211,0,"UTM:(11S 0295 3793 1000)",""
"UTM:(11S 0295 3795 1000)",4.1,1,429,34.2806,-119.2216,0,"UTM:(11S 0295 3795 1000)",""
"UTM:(11S 0296 3783 1000)",4.1,1,422,34.1726,-119.2079,0,"UTM:(11S 0296 3783 1000)",""
"UTM:(11S 0297 3780 1000)",2.0,2,420,34.1458,-119.1964,0,"UTM:(11S 0297 3780 1000)",""
"UTM:(11S 0298 3783 1000)",3.8,1,421,34.1730,-119.1862,0,"UTM:(11S 0298 3783 1000)",""
"UTM:(11S 0298 3786 1000)",4.6,1,422,34.2001,-119.1869,0,"UTM:(11S 0298 3786 1000)",""
"UTM:(11S 0299 3785 1000)",5.3,1,421,34.1912,-119.1758,0,"UTM:(11S 0299 3785 1000)",""
"UTM:(11S 0299 3786 1000)",3.1,1,421,34.2002,-119.1761,0,"UTM:(11S 0299 3786 1000)",""
"UTM:(11S 0299 3787 1000)",3.8,1,422,34.2093,-119.1763,0,"UTM:(11S 0299 3787 1000)",""
"UTM:(11S 0299 3794 1000)",2.0,2,425,34.2723,-119.1779,0,"UTM:(11S 0299 3794 1000)",""
"UTM:(11S 0300 3797 1000)",2.6,1,426,34.2996,-119.1678,0,"UTM:(11S 0300 3797 1000)",""
"UTM:(11S 0301 3796 1000)",2.7,1,425,34.2908,-119.1567,0,"UTM:(11S 0301 3796 1000)",""
"UTM:(11S 0302 3787 1000)",2.0,1,419,34.2098,-119.1438,0,"UTM:(11S 0302 3787 1000)",""
"UTM:(11S 0304 3777 1000)",3.6,3,412,34.1201,-119.1198,0,"UTM:(11S 0304 3777 1000)",""
"UTM:(11S 0304 3858 1000)",1.0,1,458,34.8501,-119.1384,0,"UTM:(11S 0304 3858 1000)",""
"UTM:(11S 0305 3811 1000)",3.8,1,430,34.4267,-119.1166,0,"UTM:(11S 0305 3811 1000)",""
"UTM:(11S 0305 3916 1000)",2.2,1,496,35.3729,-119.1411,0,"UTM:(11S 0305 3916 1000)",""
"UTM:(11S 0306 3778 1000)",2.8,4,411,34.1295,-119.0984,0,"UTM:(11S 0306 3778 1000)",""
"UTM:(11S 0309 3919 1000)",2.0,1,495,35.4007,-119.0977,0,"UTM:(11S 0309 3919 1000)",""
"UTM:(11S 0310 3788 1000)",2.6,1,413,34.2203,-119.0572,0,"UTM:(11S 0310 3788 1000)",""
"UTM:(11S 0310 3803 1000)",2.0,1,421,34.3555,-119.0605,0,"UTM:(11S 0310 3803 1000)",""
"UTM:(11S 0310 3805 1000)",3.1,2,422,34.3735,-119.0609,0,"UTM:(11S 0310 3805 1000)",""
