# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10S 039 450 10000)",1.0,1,322,40.6892,-124.2426,0,"UTM:(10S 039 450 10000)",""
"UTM:(10S 049 426 10000)",2.7,1,254,38.5334,-123.0573,0,"UTM:(10S 049 426 10000)",""
"UTM:(10S 049 435 10000)",2.0,1,216,39.3444,-123.0580,0,"UTM:(10S 049 435 10000)",""
"UTM:(10S 052 423 10000)",2.0,4,250,38.2627,-122.7142,0,"UTM:(10S 052 423 10000)",""
"UTM:(10S 052 424 10000)",3.1,1,244,38.3528,-122.7138,0,"UTM:(10S 052 424 10000)",""
"UTM:(10S 052 425 10000)",2.3,4,237,38.4429,-122.7135,0,"UTM:(10S 052 425 10000)",""
"UTM:(10S 053 420 10000)",1.0,1,266,37.9920,-122.6013,0,"UTM:(10S 053 420 10000)",""
"UTM:(10S 053 421 10000)",2.4,2,258,38.0821,-122.6009,0,"UTM:(10S 053 421 10000)",""
"UTM:(10S 053 425 10000)",2.2,1,230,38.4425,-122.5989,0,"UTM:(10S 053 425 10000)",""
"UTM:(10S 054 417 10000)",2.7,1,284,37.7211,-122.4894,0,"UTM:(10S 054 417 10000)",""
"UTM:(10S 054 418 10000)",2.0,2,276,37.8113,-122.4887,0,"UTM:(10S 054 418 10000)",""
"UTM:(10S 054 421 10000)",2.0,1,252,38.0816,-122.4869,0,"UTM:(10S 054 421 10000)",""
"UTM:(10S 054 449 10000)",1.0,2,180,40.6046,-122.4681,0,"UTM:(10S 054 449 10000)",""
"UTM:(10S 055 416 10000)",2.0,3,287,37.6304,-122.3766,0,"UTM:(10S 055 416 10000)",""
"UTM:(10S 055 418 10000)",2.3,46,270,37.8107,-122.3751,0,"UTM:(10S 055 418 10000)",""
"UTM:(10S 055 423 10000)",2.0,1,230,38.2614,-122.3713,0,"UTM:(10S 055 423 10000)",""
"UTM:(10S 055 448 10000)",1.0,1,166,40.5139,-122.3508,0,"UTM:(10S 055 448 10000)",""
"UTM:(10S 055 450 10000)",2.0,1,176,40.6940,-122.3490,0,"UTM:(10S 055 450 10000)",""
"UTM:(10S 056 415 10000)",2.3,18,291,37.5397,-122.2642,0,"UTM:(10S 056 415 10000)",""
"UTM:(10S 056 418 10000)",2.0,6,265,37.8101,-122.2615,0,"UTM:(10S 056 418 10000)",""
