# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,Standard deviation,City,State
"UTM:(10S 0655 4287 1000)",2.0,1,438,38.7225,-121.2113,0,0.330,"UTM:(10S 0655 4287 1000)",""
"UTM:(10S 0656 4057 1000)",2.0,1,326,36.6502,-121.2492,0,0.330,"UTM:(10S 0656 4057 1000)",""
"UTM:(10S 0656 4182 1000)",2.0,2,373,37.7764,-121.2229,0,0.320,"UTM:(10S 0656 4182 1000)",""
"UTM:(10S 0656 4186 1000)",2.4,3,375,37.8125,-121.2221,0,0.311,"UTM:(10S 0656 4186 1000)",""
"UTM:(10S 0656 4187 1000)",3.1,1,376,37.8215,-121.2218,0,0.330,"UTM:(10S 0656 4187 1000)",""
"UTM:(10S 0656 4202 1000)",2.7,1,384,37.9566,-121.2186,0,0.330,"UTM:(10S 0656 4202 1000)",""
"UTM:(10S 0656 4224 1000)",2.0,2,397,38.1548,-121.2138,0,0.320,"UTM:(10S 0656 4224 1000)",""
"UTM:(10S 0656 4281 1000)",2.0,1,433,38.6683,-121.2011,0,0.330,"UTM:(10S 0656 4281 1000)",""
"UTM:(10S 0656 4282 1000)",2.2,1,434,38.6773,-121.2009,0,0.330,"UTM:(10S 0656 4282 1000)",""
"UTM:(10S 0657 4020 1000)",2.1,2,319,36.3166,-121.2456,0,0.320,"UTM:(10S 0657 4020 1000)",""
"UTM:(10S 0657 4181 1000)",2.8,5,372,37.7673,-121.2118,0,0.293,"UTM:(10S 0657 4181 1000)",""
"UTM:(10S 0657 4182 1000)",2.2,1,372,37.7763,-121.2116,0,0.330,"UTM:(10S 0657 4182 1000)",""
"UTM:(10S 0657 4185 1000)",2.3,11,374,37.8033,-121.2109,0,0.248,"UTM:(10S 0657 4185 1000)",""
"UTM:(10S 0657 4186 1000)",3.1,2,374,37.8123,-121.2107,0,0.320,"UTM:(10S 0657 4186 1000)",""
"UTM:(10S 0657 4188 1000)",2.4,2,375,37.8303,-121.2103,0,0.320,"UTM:(10S 0657 4188 1000)",""
"UTM:(10S 0657 4283 1000)",2.0,1,434,38.6861,-121.1891,0,0.330,"UTM:(10S 0657 4283 1000)",""
"UTM:(10S 0657 4298 1000)",3.1,1,444,38.8212,-121.1857,0,0.330,"UTM:(10S 0657 4298 1000)",""
"UTM:(10S 0658 4022 1000)",2.0,2,318,36.3345,-121.2339,0,0.320,"UTM:(10S 0658 4022 1000)",""
"UTM:(10S 0658 4184 1000)",2.7,1,372,37.7941,-121.1998,0,0.330,"UTM:(10S 0658 4184 1000)",""
"UTM:(10S 0658 4185 1000)",3.4,1,373,37.8032,-121.1996,0,0.330,"UTM:(10S 0658 4185 1000)",""
"UTM:(10S 0658 4203 1000)",4.3,2,383,37.9653,-121.1956,0,0.320,"UTM:(10S 0658 4203 1000)",""
"UTM:(10S 0658 4206 1000)",3.1,2,385,37.9923,-121.1950,0,0.320,"UTM:(10S 0658 4206 1000)",""
"UTM:(10S 0658 4218 1000)",2.0,1,392,38.1004,-121.1923,0,0.330,"UTM:(10S 0658 4218 1000)",""
"UTM:(10S 0658 4279 1000)",2.2,1,430,38.6499,-121.1786,0,0.330,"UTM:(10S 0658 4279 1000)",""
"UTM:(10S 0658 4282 1000)",2.0,1,432,38.6769,-121.1779,0,0.330,"UTM:(10S 0658 4282 1000)",""
"UTM:(10S 0658 4289 1000)",1.0,1,437,38.7400,-121.1763,0,0.330,"UTM:(10S 0658 4289 1000)",""
"UTM:(10S 0659 4181 1000)",2.0,1,370,37.7669,-121.1891,0,0.330,"UTM:(10S 0659 4181 1000)",""
"UTM:(10S 0659 4283 1000)",2.0,5,432,38.6857,-121.1662,0,0.293,"UTM:(10S 0659 4283 1000)",""
"UTM:(10S 0660 4218 1000)",3.4,1,390,38.1001,-121.1695,0,0.330,"UTM:(10S 0660 4218 1000)",""
"UTM:(10S 0661 4148 1000)",2.2,1,352,37.4693,-121.1737,0,0.330,"UTM:(10S 0661 4148 1000)",""
"UTM:(10S 0661 4224 1000)",3.1,3,393,38.1540,-121.1567,0,0.311,"UTM:(10S 0661 4224 1000)",""
"UTM:(10S 0661 4282 1000)",2.2,1,430,38.6764,-121.1435,0,0.330,"UTM:(10S 0661 4282 1000)",""
"UTM:(10S 0662 4176 1000)",2.7,2,365,37.7214,-121.1562,0,0.320,"UTM:(10S 0662 4176 1000)",""
"UTM:(10S 0662 4225 1000)",2.7,2,393,38.1628,-121.1451,0,0.320,"UTM:(10S 0662 4225 1000)",""
"UTM:(10S 0662 4226 1000)",3.1,1,393,38.1718,-121.1449,0,0.330,"UTM:(10S 0662 4226 1000)",""
"UTM:(10S 0662 4279 1000)",1.0,1,427,38.6492,-121.1326,0,0.330,"UTM:(10S 0662 4279 1000)",""
"UTM:(10S 0663 4147 1000)",4.6,1,350,37.4599,-121.1514,0,0.330,"UTM:(10S 0663 4147 1000)",""
"UTM:(10S 0663 4148 1000)",2.8,2,350,37.4689,-121.1511,0,0.320,"UTM:(10S 0663 4148 1000)",""
"UTM:(10S 0663 4149 1000)",3.1,2,351,37.4779,-121.1508,0,0.320,"UTM:(10S 0663 4149 1000)",""
"UTM:(10S 0663 4183 1000)",2.2,1,368,37.7843,-121.1433,0,0.330,"UTM:(10S 0663 4183 1000)",""
"UTM:(10S 0663 4284 1000)",2.7,1,430,38.6940,-121.1199,0,0.330,"UTM:(10S 0663 4284 1000)",""
"UTM:(10S 0663 4297 1000)",1.0,1,439,38.8111,-121.1169,0,0.330,"UTM:(10S 0663 4297 1000)",""
"UTM:(10S 0664 4148 1000)",2.2,1,349,37.4688,-121.1398,0,0.330,"UTM:(10S 0664 4148 1000)",""
"UTM:(10S 0664 4149 1000)",2.7,8,350,37.4778,-121.1395,0,0.269,"UTM:(10S 0664 4149 1000)",""
"UTM:(10S 0664 4178 1000)",2.1,6,364,37.7390,-121.1330,0,0.285,"UTM:(10S 0664 4178 1000)",""
"UTM:(10S 0665 4147 1000)",2.1,2,348,37.4596,-121.1287,0,0.320,"UTM:(10S 0665 4147 1000)",""
"UTM:(10S 0665 4148 1000)",3.0,13,348,37.4686,-121.1285,0,0.236,"UTM:(10S 0665 4148 1000)",""
"UTM:(10S 0665 4149 1000)",3.4,3,349,37.4776,-121.1283,0,0.311,"UTM:(10S 0665 4149 1000)",""
"UTM:(10S 0665 4169 1000)",2.7,1,359,37.6578,-121.1238,0,0.330,"UTM:(10S 0665 4169 1000)",""
"UTM:(10S 0665 4175 1000)",3.1,1,362,37.7118,-121.1224,0,0.330,"UTM:(10S 0665 4175 1000)",""
"UTM:(10S 0665 4178 1000)",3.0,4,363,37.7388,-121.1217,0,0.302,"UTM:(10S 0665 4178 1000)",""
"UTM:(10S 0665 4262 1000)",2.2,1,414,38.4955,-121.1022,0,0.330,"UTM:(10S 0665 4262 1000)",""
"UTM:(10S 0665 4367 1000)",2.7,1,490,39.4412,-121.0768,0,0.330,"UTM:(10S 0665 4367 1000)",""
"UTM:(10S 0666 4174 1000)",1.0,1,360,37.7026,-121.1113,0,0.330,"UTM:(10S 0666 4174 1000)",""
"UTM:(10S 0666 4179 1000)",3.4,1,363,37.7477,-121.1101,0,0.330,"UTM:(10S 0666 4179 1000)",""
"UTM:(10S 0666 4262 1000)",5.2,2,413,38.4953,-121.0907,0,0.320,"UTM:(10S 0666 4262 1000)",""
"UTM:(10S 0666 4307 1000)",3.1,1,444,38.9006,-121.0799,0,0.330,"UTM:(10S 0666 4307 1000)",""
"UTM:(10S 0666 4315 1000)",3.1,2,450,38.9727,-121.0780,0,0.320,"UTM:(10S 0666 4315 1000)",""
"UTM:(10S 0667 4008 1000)",2.0,1,307,36.2069,-121.1368,0,0.330,"UTM:(10S 0667 4008 1000)",""
"UTM:(10S 0667 4174 1000)",2.0,1,360,37.7024,-121.1000,0,0.330,"UTM:(10S 0667 4174 1000)",""
"UTM:(10S 0667 4175 1000)",2.7,1,360,37.7114,-121.0997,0,0.330,"UTM:(10S 0667 4175 1000)",""
"UTM:(10S 0667 4185 1000)",2.0,1,365,37.8015,-121.0974,0,0.330,"UTM:(10S 0667 4185 1000)",""
"UTM:(10S 0667 4210 1000)",2.2,1,380,38.0267,-121.0916,0,0.330,"UTM:(10S 0667 4210 1000)",""
"UTM:(10S 0667 4307 1000)",1.0,1,444,38.9004,-121.0684,0,0.330,"UTM:(10S 0667 4307 1000)",""
"UTM:(10S 0667 4341 1000)",1.0,1,469,39.2066,-121.0601,0,0.330,"UTM:(10S 0667 4341 1000)",""
"UTM:(10S 0667 4360 1000)",3.1,1,483,39.3777,-121.0554,0,0.330,"UTM:(10S 0667 4360 1000)",""
"UTM:(10S 0668 4008 1000)",2.5,3,306,36.2067,-121.1257,0,0.311,"UTM:(10S 0668 4008 1000)",""
"UTM:(10S 0668 4009 1000)",4.3,1,307,36.2157,-121.1254,0,0.330,"UTM:(10S 0668 4009 1000)",""
"UTM:(10S 0668 4174 1000)",3.0,3,359,37.7022,-121.0886,0,0.311,"UTM:(10S 0668 4174 1000)",""
"UTM:(10S 0668 4176 1000)",3.4,1,360,37.7203,-121.0882,0,0.330,"UTM:(10S 0668 4176 1000)",""
"UTM:(10S 0668 4318 1000)",1.0,1,451,38.9993,-121.0542,0,0.330,"UTM:(10S 0668 4318 1000)",""
"UTM:(10S 0668 4342 1000)",3.6,3,469,39.2155,-121.0482,0,0.311,"UTM:(10S 0668 4342 1000)",""
"UTM:(10S 0669 4163 1000)",2.7,1,352,37.6030,-121.0798,0,0.330,"UTM:(10S 0669 4163 1000)",""
"UTM:(10S 0669 4174 1000)",3.4,1,358,37.7021,-121.0772,0,0.330,"UTM:(10S 0669 4174 1000)",""
"UTM:(10S 0669 4176 1000)",3.8,1,359,37.7201,-121.0768,0,0.330,"UTM:(10S 0669 4176 1000)",""
"UTM:(10S 0669 4206 1000)",2.0,1,376,37.9903,-121.0698,0,0.330,"UTM:(10S 0669 4206 1000)",""
"UTM:(10S 0669 4281 1000)",2.0,1,424,38.6659,-121.0517,0,0.330,"UTM:(10S 0669 4281 1000)",""
"UTM:(10S 0669 4287 1000)",4.1,1,428,38.7199,-121.0503,0,0.330,"UTM:(10S 0669 4287 1000)",""
"UTM:(10S 0669 4315 1000)",4.3,1,448,38.9721,-121.0434,0,0.330,"UTM:(10S 0669 4315 1000)",""
"UTM:(10S 0669 4351 1000)",2.0,1,475,39.2963,-121.0344,0,0.330,"UTM:(10S 0669 4351 1000)",""
"UTM:(10S 0670 3941 1000)",2.0,2,307,35.6026,-121.1178,0,0.320,"UTM:(10S 0670 3941 1000)",""
"UTM:(10S 0670 3978 1000)",2.0,2,304,35.9360,-121.1098,0,0.320,"UTM:(10S 0670 3978 1000)",""
"UTM:(10S 0670 4170 1000)",2.9,1,355,37.6658,-121.0668,0,0.330,"UTM:(10S 0670 4170 1000)",""
"UTM:(10S 0670 4173 1000)",2.8,2,356,37.6929,-121.0661,0,0.320,"UTM:(10S 0670 4173 1000)",""
"UTM:(10S 0670 4334 1000)",1.0,1,461,39.1430,-121.0271,0,0.330,"UTM:(10S 0670 4334 1000)",""
"UTM:(10S 0670 4342 1000)",2.2,1,468,39.2150,-121.0251,0,0.330,"UTM:(10S 0670 4342 1000)",""
"UTM:(10S 0670 4347 1000)",2.7,2,471,39.2601,-121.0238,0,0.320,"UTM:(10S 0670 4347 1000)",""
"UTM:(10S 0671 4140 1000)",3.4,1,339,37.3954,-121.0625,0,0.330,"UTM:(10S 0671 4140 1000)",""
"UTM:(10S 0671 4173 1000)",2.1,3,356,37.6927,-121.0548,0,0.311,"UTM:(10S 0671 4173 1000)",""
"UTM:(10S 0671 4340 1000)",2.2,1,465,39.1968,-121.0140,0,0.330,"UTM:(10S 0671 4340 1000)",""
"UTM:(10S 0671 4341 1000)",3.4,1,466,39.2058,-121.0138,0,0.330,"UTM:(10S 0671 4341 1000)",""
"UTM:(10S 0671 4348 1000)",2.2,2,471,39.2689,-121.0120,0,0.320,"UTM:(10S 0671 4348 1000)",""
"UTM:(10S 0672 3937 1000)",3.8,1,306,35.5662,-121.0966,0,0.330,"UTM:(10S 0672 3937 1000)",""
"UTM:(10S 0672 4147 1000)",2.0,1,342,37.4583,-121.0496,0,0.330,"UTM:(10S 0672 4147 1000)",""
"UTM:(10S 0672 4168 1000)",2.2,4,352,37.6475,-121.0447,0,0.302,"UTM:(10S 0672 4168 1000)",""
"UTM:(10S 0672 4169 1000)",3.5,4,353,37.6565,-121.0444,0,0.302,"UTM:(10S 0672 4169 1000)",""
"UTM:(10S 0672 4173 1000)",2.9,7,355,37.6925,-121.0435,0,0.277,"UTM:(10S 0672 4173 1000)",""
"UTM:(10S 0673 3935 1000)",1.0,1,305,35.5480,-121.0859,0,0.330,"UTM:(10S 0673 3935 1000)",""
"UTM:(10S 0673 3944 1000)",2.0,1,304,35.6291,-121.0840,0,0.330,"UTM:(10S 0673 3944 1000)",""
"UTM:(10S 0673 3978 1000)",2.7,1,301,35.9355,-121.0767,0,0.330,"UTM:(10S 0673 3978 1000)",""
"UTM:(10S 0673 4119 1000)",2.0,1,329,37.2058,-121.0448,0,0.330,"UTM:(10S 0673 4119 1000)",""
"UTM:(10S 0673 4164 1000)",2.0,2,349,37.6112,-121.0343,0,0.320,"UTM:(10S 0673 4164 1000)",""
"UTM:(10S 0673 4168 1000)",3.4,7,351,37.6473,-121.0334,0,0.277,"UTM:(10S 0673 4168 1000)",""
"UTM:(10S 0673 4169 1000)",3.6,3,352,37.6563,-121.0331,0,0.311,"UTM:(10S 0673 4169 1000)",""
"UTM:(10S 0673 4171 1000)",3.8,1,353,37.6743,-121.0326,0,0.330,"UTM:(10S 0673 4171 1000)",""
"UTM:(10S 0673 4172 1000)",3.2,8,353,37.6833,-121.0324,0,0.269,"UTM:(10S 0673 4172 1000)",""
"UTM:(10S 0674 4130 1000)",3.2,2,332,37.3048,-121.0310,0,0.320,"UTM:(10S 0674 4130 1000)",""
"UTM:(10S 0674 4162 1000)",3.4,1,347,37.5930,-121.0234,0,0.330,"UTM:(10S 0674 4162 1000)",""
"UTM:(10S 0674 4167 1000)",2.2,1,350,37.6381,-121.0222,0,0.330,"UTM:(10S 0674 4167 1000)",""
"UTM:(10S 0674 4170 1000)",3.1,1,352,37.6651,-121.0215,0,0.330,"UTM:(10S 0674 4170 1000)",""
"UTM:(10S 0674 4172 1000)",2.7,2,353,37.6831,-121.0211,0,0.320,"UTM:(10S 0674 4172 1000)",""
"UTM:(10S 0674 4173 1000)",2.6,2,353,37.6921,-121.0208,0,0.320,"UTM:(10S 0674 4173 1000)",""
"UTM:(10S 0674 4174 1000)",3.4,16,354,37.7011,-121.0206,0,0.218,"UTM:(10S 0674 4174 1000)",""
"UTM:(10S 0674 4187 1000)",2.0,2,361,37.8182,-121.0174,0,0.320,"UTM:(10S 0674 4187 1000)",""
"UTM:(10S 0674 4334 1000)",2.0,1,459,39.1422,-120.9808,0,0.330,"UTM:(10S 0674 4334 1000)",""
"UTM:(10S 0674 4344 1000)",2.2,2,466,39.2323,-120.9783,0,0.320,"UTM:(10S 0674 4344 1000)",""
"UTM:(10S 0675 4131 1000)",2.8,11,332,37.3136,-121.0195,0,0.248,"UTM:(10S 0675 4131 1000)",""
"UTM:(10S 0675 4163 1000)",3.1,1,347,37.6018,-121.0119,0,0.330,"UTM:(10S 0675 4163 1000)",""
"UTM:(10S 0675 4164 1000)",3.4,1,348,37.6109,-121.0117,0,0.330,"UTM:(10S 0675 4164 1000)",""
"UTM:(10S 0675 4165 1000)",2.5,3,348,37.6199,-121.0114,0,0.311,"UTM:(10S 0675 4165 1000)",""
"UTM:(10S 0675 4166 1000)",2.2,2,349,37.6289,-121.0112,0,0.320,"UTM:(10S 0675 4166 1000)",""
"UTM:(10S 0675 4168 1000)",3.2,2,350,37.6469,-121.0107,0,0.320,"UTM:(10S 0675 4168 1000)",""
"UTM:(10S 0675 4169 1000)",3.4,2,350,37.6559,-121.0104,0,0.320,"UTM:(10S 0675 4169 1000)",""
"UTM:(10S 0675 4170 1000)",3.0,3,351,37.6649,-121.0102,0,0.311,"UTM:(10S 0675 4170 1000)",""
"UTM:(10S 0675 4171 1000)",5.0,1,351,37.6739,-121.0100,0,0.330,"UTM:(10S 0675 4171 1000)",""
"UTM:(10S 0675 4172 1000)",3.0,3,352,37.6829,-121.0097,0,0.311,"UTM:(10S 0675 4172 1000)",""
"UTM:(10S 0675 4173 1000)",3.1,1,352,37.6919,-121.0095,0,0.330,"UTM:(10S 0675 4173 1000)",""
"UTM:(10S 0675 4184 1000)",4.6,7,358,37.7910,-121.0068,0,0.277,"UTM:(10S 0675 4184 1000)",""
"UTM:(10S 0675 4353 1000)",2.0,1,473,39.3131,-120.9643,0,0.330,"UTM:(10S 0675 4353 1000)",""
"UTM:(10S 0676 4107 1000)",4.3,1,321,37.0972,-121.0139,0,0.330,"UTM:(10S 0676 4107 1000)",""
"UTM:(10S 0676 4124 1000)",3.1,1,328,37.2503,-121.0099,0,0.330,"UTM:(10S 0676 4124 1000)",""
"UTM:(10S 0676 4125 1000)",3.1,1,328,37.2593,-121.0096,0,0.330,"UTM:(10S 0676 4125 1000)",""
"UTM:(10S 0676 4131 1000)",2.0,1,331,37.3134,-121.0083,0,0.330,"UTM:(10S 0676 4131 1000)",""
"UTM:(10S 0676 4132 1000)",2.8,3,331,37.3224,-121.0079,0,0.311,"UTM:(10S 0676 4132 1000)",""
"UTM:(10S 0676 4162 1000)",2.7,1,346,37.5926,-121.0008,0,0.330,"UTM:(10S 0676 4162 1000)",""
"UTM:(10S 0676 4163 1000)",2.2,2,346,37.6017,-121.0006,0,0.320,"UTM:(10S 0676 4163 1000)",""
"UTM:(10S 0676 4165 1000)",3.4,1,347,37.6197,-121.0001,0,0.330,"UTM:(10S 0676 4165 1000)",""
"UTM:(10S 0676 4166 1000)",2.2,1,348,37.6287,-120.9999,0,0.330,"UTM:(10S 0676 4166 1000)",""
"UTM:(10S 0676 4167 1000)",3.2,84,348,37.6377,-120.9996,0,0.098,"UTM:(10S 0676 4167 1000)",""
"UTM:(10S 0676 4168 1000)",2.4,8,349,37.6467,-120.9993,0,0.269,"UTM:(10S 0676 4168 1000)",""
"UTM:(10S 0676 4169 1000)",2.0,1,349,37.6557,-120.9991,0,0.330,"UTM:(10S 0676 4169 1000)",""
"UTM:(10S 0676 4171 1000)",2.8,5,350,37.6737,-120.9986,0,0.293,"UTM:(10S 0676 4171 1000)",""
"UTM:(10S 0676 4172 1000)",3.6,2,351,37.6827,-120.9984,0,0.320,"UTM:(10S 0676 4172 1000)",""
"UTM:(10S 0676 4173 1000)",3.3,2,351,37.6917,-120.9982,0,0.320,"UTM:(10S 0676 4173 1000)",""
"UTM:(10S 0676 4174 1000)",2.7,1,352,37.7007,-120.9979,0,0.330,"UTM:(10S 0676 4174 1000)",""
"UTM:(10S 0676 4184 1000)",4.6,2,357,37.7908,-120.9955,0,0.320,"UTM:(10S 0676 4184 1000)",""
"UTM:(10S 0676 4185 1000)",2.8,3,358,37.7998,-120.9952,0,0.311,"UTM:(10S 0676 4185 1000)",""
"UTM:(10S 0676 4281 1000)",2.0,1,419,38.6645,-120.9714,0,0.330,"UTM:(10S 0676 4281 1000)",""
"UTM:(10S 0676 4422 1000)",2.7,1,527,39.9342,-120.9343,0,0.330,"UTM:(10S 0676 4422 1000)",""
"UTM:(10S 0677 4102 1000)",3.4,1,318,37.0520,-121.0038,0,0.330,"UTM:(10S 0677 4102 1000)",""
"UTM:(10S 0677 4125 1000)",2.9,5,328,37.2592,-120.9983,0,0.293,"UTM:(10S 0677 4125 1000)",""
