# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,Standard deviation,City,State
"UTM:(10S 0431 4365 1000)",2.2,1,662,39.4364,-123.7960,0,0.330,"UTM:(10S 0431 4365 1000)",""
"UTM:(10S 0433 4382 1000)",3.4,1,670,39.5896,-123.7745,0,0.330,"UTM:(10S 0433 4382 1000)",""
"UTM:(10S 0446 4389 1000)",3.8,1,664,39.6536,-123.6236,0,0.330,"UTM:(10S 0446 4389 1000)",""
"UTM:(10S 0447 4296 1000)",1.0,1,611,38.8157,-123.6047,0,0.330,"UTM:(10S 0447 4296 1000)",""
"UTM:(10S 0465 4373 1000)",1.0,1,639,39.5104,-123.4013,0,0.330,"UTM:(10S 0465 4373 1000)",""
"UTM:(10S 0494 4313 1000)",1.0,1,581,38.9704,-123.0635,0,0.330,"UTM:(10S 0494 4313 1000)",""
"UTM:(10S 0498 4295 1000)",1.0,1,567,38.8083,-123.0172,0,0.330,"UTM:(10S 0498 4295 1000)",""
"UTM:(10S 0507 4322 1000)",1.0,1,575,39.0515,-122.9133,0,0.330,"UTM:(10S 0507 4322 1000)",""
"UTM:(10S 0516 4254 1000)",2.0,1,530,38.4386,-122.8109,0,0.330,"UTM:(10S 0516 4254 1000)",""
"UTM:(10S 0521 4253 1000)",2.0,1,526,38.4295,-122.7536,0,0.330,"UTM:(10S 0521 4253 1000)",""
"UTM:(10S 0524 4254 1000)",1.0,1,523,38.4384,-122.7192,0,0.330,"UTM:(10S 0524 4254 1000)",""
"UTM:(10S 0524 4255 1000)",2.2,1,524,38.4475,-122.7192,0,0.330,"UTM:(10S 0524 4255 1000)",""
"UTM:(10S 0525 4243 1000)",2.2,1,517,38.3393,-122.7082,0,0.330,"UTM:(10S 0525 4243 1000)",""
"UTM:(10S 0525 4254 1000)",2.0,6,523,38.4384,-122.7079,0,0.285,"UTM:(10S 0525 4254 1000)",""
"UTM:(10S 0525 4255 1000)",2.0,1,523,38.4474,-122.7078,0,0.330,"UTM:(10S 0525 4255 1000)",""
"UTM:(10S 0526 4254 1000)",1.0,1,522,38.4384,-122.6963,0,0.330,"UTM:(10S 0526 4254 1000)",""
"UTM:(10S 0527 4195 1000)",2.0,1,493,37.9066,-122.6872,0,0.330,"UTM:(10S 0527 4195 1000)",""
"UTM:(10S 0528 4257 1000)",3.1,1,522,38.4654,-122.6733,0,0.330,"UTM:(10S 0528 4257 1000)",""
"UTM:(10S 0530 4232 1000)",1.0,1,507,38.2400,-122.6515,0,0.330,"UTM:(10S 0530 4232 1000)",""
"UTM:(10S 0531 4258 1000)",2.0,1,520,38.4743,-122.6388,0,0.330,"UTM:(10S 0531 4258 1000)",""
"UTM:(10S 0532 4227 1000)",3.1,1,503,38.1949,-122.6288,0,0.330,"UTM:(10S 0532 4227 1000)",""
"UTM:(10S 0532 4233 1000)",1.0,1,506,38.2489,-122.6285,0,0.330,"UTM:(10S 0532 4233 1000)",""
"UTM:(10S 0534 4205 1000)",2.0,1,491,37.9965,-122.6071,0,0.330,"UTM:(10S 0534 4205 1000)",""
"UTM:(10S 0538 4295 1000)",3.8,1,534,38.8074,-122.5566,0,0.330,"UTM:(10S 0538 4295 1000)",""
"UTM:(10S 0539 4195 1000)",1.0,1,482,37.9062,-122.5507,0,0.330,"UTM:(10S 0539 4195 1000)",""
"UTM:(10S 0539 4252 1000)",2.2,2,510,38.4199,-122.5476,0,0.320,"UTM:(10S 0539 4252 1000)",""
"UTM:(10S 0540 4195 1000)",1.0,1,481,37.9061,-122.5393,0,0.330,"UTM:(10S 0540 4195 1000)",""
"UTM:(10S 0540 4204 1000)",3.1,1,485,37.9873,-122.5388,0,0.330,"UTM:(10S 0540 4204 1000)",""
"UTM:(10S 0541 4197 1000)",2.0,8,481,37.9241,-122.5278,0,0.269,"UTM:(10S 0541 4197 1000)",""
"UTM:(10S 0542 4195 1000)",2.2,1,480,37.9061,-122.5165,0,0.330,"UTM:(10S 0542 4195 1000)",""
"UTM:(10S 0543 4180 1000)",1.0,1,472,37.7708,-122.5061,0,0.330,"UTM:(10S 0543 4180 1000)",""
"UTM:(10S 0543 4190 1000)",2.0,1,477,37.8609,-122.5055,0,0.330,"UTM:(10S 0543 4190 1000)",""
"UTM:(10S 0543 4192 1000)",4.6,2,477,37.8790,-122.5053,0,0.320,"UTM:(10S 0543 4192 1000)",""
"UTM:(10S 0545 4167 1000)",3.8,2,465,37.6535,-122.4842,0,0.320,"UTM:(10S 0545 4167 1000)",""
"UTM:(10S 0545 4170 1000)",1.0,1,467,37.6806,-122.4840,0,0.330,"UTM:(10S 0545 4170 1000)",""
"UTM:(10S 0545 4179 1000)",2.0,3,470,37.7617,-122.4834,0,0.311,"UTM:(10S 0545 4179 1000)",""
"UTM:(10S 0545 4181 1000)",2.0,2,471,37.7797,-122.4833,0,0.320,"UTM:(10S 0545 4181 1000)",""
"UTM:(10S 0546 4172 1000)",2.2,1,466,37.6985,-122.4725,0,0.330,"UTM:(10S 0546 4172 1000)",""
"UTM:(10S 0546 4174 1000)",3.3,2,467,37.7166,-122.4724,0,0.320,"UTM:(10S 0546 4174 1000)",""
"UTM:(10S 0546 4179 1000)",1.0,1,469,37.7617,-122.4721,0,0.330,"UTM:(10S 0546 4179 1000)",""
"UTM:(10S 0546 4181 1000)",2.2,1,470,37.7797,-122.4719,0,0.330,"UTM:(10S 0546 4181 1000)",""
"UTM:(10S 0547 4179 1000)",2.0,1,468,37.7616,-122.4607,0,0.330,"UTM:(10S 0547 4179 1000)",""
"UTM:(10S 0547 4180 1000)",2.7,3,469,37.7706,-122.4606,0,0.311,"UTM:(10S 0547 4180 1000)",""
"UTM:(10S 0547 4181 1000)",2.6,2,469,37.7796,-122.4606,0,0.320,"UTM:(10S 0547 4181 1000)",""
"UTM:(10S 0547 4237 1000)",2.9,1,495,38.2843,-122.4569,0,0.330,"UTM:(10S 0547 4237 1000)",""
"UTM:(10S 0548 4167 1000)",1.0,1,463,37.6534,-122.4502,0,0.330,"UTM:(10S 0548 4167 1000)",""
"UTM:(10S 0548 4178 1000)",1.0,1,467,37.7525,-122.4494,0,0.330,"UTM:(10S 0548 4178 1000)",""
"UTM:(10S 0548 4180 1000)",3.4,2,468,37.7706,-122.4493,0,0.320,"UTM:(10S 0548 4180 1000)",""
"UTM:(10S 0548 4183 1000)",1.0,1,469,37.7976,-122.4491,0,0.330,"UTM:(10S 0548 4183 1000)",""
"UTM:(10S 0548 4269 1000)",1.0,1,511,38.5726,-122.4433,0,0.330,"UTM:(10S 0548 4269 1000)",""
"UTM:(10S 0549 4146 1000)",3.4,1,454,37.4641,-122.4402,0,0.330,"UTM:(10S 0549 4146 1000)",""
"UTM:(10S 0549 4172 1000)",1.0,1,464,37.6984,-122.4385,0,0.330,"UTM:(10S 0549 4172 1000)",""
"UTM:(10S 0549 4179 1000)",2.0,1,466,37.7615,-122.4380,0,0.330,"UTM:(10S 0549 4179 1000)",""
"UTM:(10S 0549 4181 1000)",2.5,3,467,37.7795,-122.4379,0,0.311,"UTM:(10S 0549 4181 1000)",""
"UTM:(10S 0549 4183 1000)",2.7,2,468,37.7976,-122.4377,0,0.320,"UTM:(10S 0549 4183 1000)",""
"UTM:(10S 0549 4184 1000)",3.8,2,469,37.8066,-122.4377,0,0.320,"UTM:(10S 0549 4184 1000)",""
"UTM:(10S 0550 4142 1000)",1.0,1,452,37.4279,-122.4292,0,0.330,"UTM:(10S 0550 4142 1000)",""
"UTM:(10S 0550 4166 1000)",1.0,1,460,37.6442,-122.4276,0,0.330,"UTM:(10S 0550 4166 1000)",""
"UTM:(10S 0550 4178 1000)",2.0,1,465,37.7524,-122.4267,0,0.330,"UTM:(10S 0550 4178 1000)",""
"UTM:(10S 0550 4179 1000)",1.0,2,466,37.7614,-122.4267,0,0.320,"UTM:(10S 0550 4179 1000)",""
"UTM:(10S 0550 4180 1000)",1.0,1,466,37.7704,-122.4266,0,0.330,"UTM:(10S 0550 4180 1000)",""
"UTM:(10S 0550 4182 1000)",3.7,2,467,37.7884,-122.4264,0,0.320,"UTM:(10S 0550 4182 1000)",""
"UTM:(10S 0550 4186 1000)",2.0,1,469,37.8245,-122.4262,0,0.330,"UTM:(10S 0550 4186 1000)",""
"UTM:(10S 0551 4167 1000)",3.1,1,460,37.6532,-122.4162,0,0.330,"UTM:(10S 0551 4167 1000)",""
"UTM:(10S 0551 4179 1000)",2.0,2,465,37.7614,-122.4153,0,0.320,"UTM:(10S 0551 4179 1000)",""
"UTM:(10S 0551 4180 1000)",2.0,1,465,37.7704,-122.4153,0,0.330,"UTM:(10S 0551 4180 1000)",""
"UTM:(10S 0551 4181 1000)",2.0,9,465,37.7794,-122.4152,0,0.262,"UTM:(10S 0551 4181 1000)",""
"UTM:(10S 0551 4182 1000)",2.0,4,466,37.7884,-122.4151,0,0.302,"UTM:(10S 0551 4182 1000)",""
"UTM:(10S 0551 4183 1000)",1.0,2,466,37.7974,-122.4150,0,0.320,"UTM:(10S 0551 4183 1000)",""
"UTM:(10S 0551 4184 1000)",2.6,2,467,37.8064,-122.4150,0,0.320,"UTM:(10S 0551 4184 1000)",""
"UTM:(10S 0552 4181 1000)",2.0,3,465,37.7794,-122.4038,0,0.311,"UTM:(10S 0552 4181 1000)",""
"UTM:(10S 0552 4182 1000)",2.7,5,465,37.7884,-122.4038,0,0.293,"UTM:(10S 0552 4182 1000)",""
"UTM:(10S 0552 4183 1000)",1.0,1,465,37.7974,-122.4037,0,0.330,"UTM:(10S 0552 4183 1000)",""
"UTM:(10S 0553 4158 1000)",1.0,1,454,37.5720,-122.3941,0,0.330,"UTM:(10S 0553 4158 1000)",""
"UTM:(10S 0553 4179 1000)",2.7,1,463,37.7613,-122.3926,0,0.330,"UTM:(10S 0553 4179 1000)",""
"UTM:(10S 0553 4180 1000)",2.8,10,463,37.7703,-122.3925,0,0.255,"UTM:(10S 0553 4180 1000)",""
"UTM:(10S 0553 4182 1000)",2.2,1,464,37.7883,-122.3924,0,0.330,"UTM:(10S 0553 4182 1000)",""
"UTM:(10S 0553 4183 1000)",3.7,4,465,37.7973,-122.3923,0,0.302,"UTM:(10S 0553 4183 1000)",""
"UTM:(10S 0557 4159 1000)",2.0,4,451,37.5808,-122.3488,0,0.302,"UTM:(10S 0557 4159 1000)",""
"UTM:(10S 0557 4196 1000)",1.0,1,467,37.9142,-122.3459,0,0.330,"UTM:(10S 0557 4196 1000)",""
"UTM:(10S 0557 4199 1000)",1.0,1,468,37.9412,-122.3456,0,0.330,"UTM:(10S 0557 4199 1000)",""
"UTM:(10S 0559 4197 1000)",3.4,1,465,37.9231,-122.3230,0,0.330,"UTM:(10S 0559 4197 1000)",""
"UTM:(10S 0559 4199 1000)",1.0,2,466,37.9412,-122.3228,0,0.320,"UTM:(10S 0559 4199 1000)",""
"UTM:(10S 0559 4201 1000)",2.2,1,467,37.9592,-122.3227,0,0.330,"UTM:(10S 0559 4201 1000)",""
"UTM:(10S 0559 4241 1000)",2.0,1,487,38.3196,-122.3194,0,0.330,"UTM:(10S 0559 4241 1000)",""
"UTM:(10S 0560 4196 1000)",1.0,1,464,37.9141,-122.3117,0,0.330,"UTM:(10S 0560 4196 1000)",""
"UTM:(10S 0560 4201 1000)",1.0,1,466,37.9591,-122.3113,0,0.330,"UTM:(10S 0560 4201 1000)",""
"UTM:(10S 0561 4187 1000)",2.7,3,459,37.8329,-122.3011,0,0.311,"UTM:(10S 0561 4187 1000)",""
"UTM:(10S 0561 4197 1000)",1.0,2,463,37.9230,-122.3003,0,0.320,"UTM:(10S 0561 4197 1000)",""
"UTM:(10S 0561 4239 1000)",2.0,1,484,38.3015,-122.2966,0,0.330,"UTM:(10S 0561 4239 1000)",""
"UTM:(10S 0562 4151 1000)",1.0,2,444,37.5084,-122.2928,0,0.320,"UTM:(10S 0562 4151 1000)",""
"UTM:(10S 0562 4152 1000)",1.0,1,444,37.5174,-122.2927,0,0.330,"UTM:(10S 0562 4152 1000)",""
"UTM:(10S 0562 4154 1000)",2.0,1,445,37.5354,-122.2926,0,0.330,"UTM:(10S 0562 4154 1000)",""
"UTM:(10S 0562 4157 1000)",3.8,1,446,37.5624,-122.2923,0,0.330,"UTM:(10S 0562 4157 1000)",""
"UTM:(10S 0562 4192 1000)",1.0,1,460,37.8778,-122.2893,0,0.330,"UTM:(10S 0562 4192 1000)",""
"UTM:(10S 0562 4239 1000)",4.1,2,483,38.3014,-122.2852,0,0.320,"UTM:(10S 0562 4239 1000)",""
"UTM:(10S 0562 4240 1000)",2.2,1,484,38.3105,-122.2851,0,0.330,"UTM:(10S 0562 4240 1000)",""
"UTM:(10S 0563 4152 1000)",2.0,2,443,37.5173,-122.2814,0,0.320,"UTM:(10S 0563 4152 1000)",""
"UTM:(10S 0563 4154 1000)",2.0,1,444,37.5353,-122.2813,0,0.330,"UTM:(10S 0563 4154 1000)",""
"UTM:(10S 0563 4156 1000)",2.0,1,444,37.5534,-122.2811,0,0.330,"UTM:(10S 0563 4156 1000)",""
"UTM:(10S 0563 4184 1000)",2.0,5,456,37.8056,-122.2786,0,0.293,"UTM:(10S 0563 4184 1000)",""
"UTM:(10S 0563 4191 1000)",1.0,1,459,37.8687,-122.2781,0,0.330,"UTM:(10S 0563 4191 1000)",""
"UTM:(10S 0564 4141 1000)",2.0,1,438,37.4181,-122.2711,0,0.330,"UTM:(10S 0564 4141 1000)",""
"UTM:(10S 0564 4153 1000)",2.0,2,442,37.5262,-122.2700,0,0.320,"UTM:(10S 0564 4153 1000)",""
"UTM:(10S 0564 4155 1000)",2.2,1,443,37.5442,-122.2699,0,0.330,"UTM:(10S 0564 4155 1000)",""
"UTM:(10S 0564 4157 1000)",2.4,2,444,37.5622,-122.2697,0,0.320,"UTM:(10S 0564 4157 1000)",""
"UTM:(10S 0564 4180 1000)",2.0,2,453,37.7695,-122.2677,0,0.320,"UTM:(10S 0564 4180 1000)",""
"UTM:(10S 0564 4181 1000)",1.0,1,454,37.7785,-122.2675,0,0.330,"UTM:(10S 0564 4181 1000)",""
"UTM:(10S 0564 4184 1000)",2.6,2,455,37.8056,-122.2673,0,0.320,"UTM:(10S 0564 4184 1000)",""
"UTM:(10S 0564 4190 1000)",1.0,1,458,37.8597,-122.2668,0,0.330,"UTM:(10S 0564 4190 1000)",""
"UTM:(10S 0564 4191 1000)",2.0,2,458,37.8687,-122.2666,0,0.320,"UTM:(10S 0564 4191 1000)",""
"UTM:(10S 0564 4224 1000)",1.0,1,474,38.1661,-122.2637,0,0.330,"UTM:(10S 0564 4224 1000)",""
"UTM:(10S 0565 4155 1000)",2.7,1,442,37.5442,-122.2585,0,0.330,"UTM:(10S 0565 4155 1000)",""
"UTM:(10S 0565 4156 1000)",2.1,2,443,37.5532,-122.2585,0,0.320,"UTM:(10S 0565 4156 1000)",""
"UTM:(10S 0565 4157 1000)",2.0,2,443,37.5622,-122.2584,0,0.320,"UTM:(10S 0565 4157 1000)",""
"UTM:(10S 0565 4180 1000)",2.0,2,452,37.7695,-122.2563,0,0.320,"UTM:(10S 0565 4180 1000)",""
"UTM:(10S 0565 4183 1000)",2.7,1,454,37.7965,-122.2560,0,0.330,"UTM:(10S 0565 4183 1000)",""
"UTM:(10S 0565 4184 1000)",2.0,1,454,37.8055,-122.2560,0,0.330,"UTM:(10S 0565 4184 1000)",""
"UTM:(10S 0565 4185 1000)",1.0,1,455,37.8145,-122.2559,0,0.330,"UTM:(10S 0565 4185 1000)",""
"UTM:(10S 0565 4186 1000)",2.0,2,455,37.8235,-122.2558,0,0.320,"UTM:(10S 0565 4186 1000)",""
"UTM:(10S 0565 4191 1000)",2.0,1,457,37.8687,-122.2553,0,0.330,"UTM:(10S 0565 4191 1000)",""
"UTM:(10S 0565 4193 1000)",1.0,1,458,37.8867,-122.2551,0,0.330,"UTM:(10S 0565 4193 1000)",""
"UTM:(10S 0565 4207 1000)",6.0,2,465,38.0128,-122.2538,0,0.320,"UTM:(10S 0565 4207 1000)",""
"UTM:(10S 0566 4147 1000)",3.4,1,438,37.4720,-122.2479,0,0.330,"UTM:(10S 0566 4147 1000)",""
"UTM:(10S 0566 4154 1000)",2.2,1,441,37.5351,-122.2473,0,0.330,"UTM:(10S 0566 4154 1000)",""
"UTM:(10S 0566 4176 1000)",2.0,2,450,37.7334,-122.2453,0,0.320,"UTM:(10S 0566 4176 1000)",""
"UTM:(10S 0566 4180 1000)",2.0,4,451,37.7694,-122.2449,0,0.302,"UTM:(10S 0566 4180 1000)",""
"UTM:(10S 0566 4186 1000)",1.0,1,454,37.8235,-122.2444,0,0.330,"UTM:(10S 0566 4186 1000)",""
"UTM:(10S 0566 4267 1000)",1.0,1,495,38.5534,-122.2368,0,0.330,"UTM:(10S 0566 4267 1000)",""
"UTM:(10S 0567 4146 1000)",1.0,1,437,37.4629,-122.2367,0,0.330,"UTM:(10S 0567 4146 1000)",""
"UTM:(10S 0567 4179 1000)",1.0,1,450,37.7604,-122.2337,0,0.330,"UTM:(10S 0567 4179 1000)",""
"UTM:(10S 0567 4215 1000)",2.0,1,467,38.0847,-122.2303,0,0.330,"UTM:(10S 0567 4215 1000)",""
"UTM:(10S 0567 4216 1000)",2.0,3,467,38.0938,-122.2303,0,0.311,"UTM:(10S 0567 4216 1000)",""
"UTM:(10S 0568 4148 1000)",3.1,1,437,37.4809,-122.2252,0,0.330,"UTM:(10S 0568 4148 1000)",""
"UTM:(10S 0568 4149 1000)",3.1,7,437,37.4899,-122.2251,0,0.277,"UTM:(10S 0568 4149 1000)",""
"UTM:(10S 0568 4217 1000)",2.0,1,467,38.1027,-122.2188,0,0.330,"UTM:(10S 0568 4217 1000)",""
"UTM:(10S 0569 4183 1000)",2.0,1,450,37.7963,-122.2106,0,0.330,"UTM:(10S 0569 4183 1000)",""
"UTM:(10S 0570 4181 1000)",2.0,1,448,37.7781,-122.1995,0,0.330,"UTM:(10S 0570 4181 1000)",""
"UTM:(10S 0570 4182 1000)",2.2,2,449,37.7871,-122.1994,0,0.320,"UTM:(10S 0570 4182 1000)",""
"UTM:(10S 0570 4188 1000)",1.0,1,451,37.8412,-122.1987,0,0.330,"UTM:(10S 0570 4188 1000)",""
"UTM:(10S 0571 4142 1000)",1.0,2,432,37.4265,-122.1919,0,0.320,"UTM:(10S 0571 4142 1000)",""
"UTM:(10S 0572 4142 1000)",2.0,2,431,37.4265,-122.1806,0,0.320,"UTM:(10S 0572 4142 1000)",""
"UTM:(10S 0572 4145 1000)",2.0,4,432,37.4535,-122.1803,0,0.302,"UTM:(10S 0572 4145 1000)",""
"UTM:(10S 0572 4193 1000)",2.0,1,452,37.8862,-122.1755,0,0.330,"UTM:(10S 0572 4193 1000)",""
"UTM:(10S 0572 4212 1000)",2.7,1,461,38.0573,-122.1736,0,0.330,"UTM:(10S 0572 4212 1000)",""
"UTM:(10S 0572 4216 1000)",1.0,1,463,38.0934,-122.1731,0,0.330,"UTM:(10S 0572 4216 1000)",""
"UTM:(10S 0573 4142 1000)",2.0,2,430,37.4264,-122.1693,0,0.320,"UTM:(10S 0573 4142 1000)",""
"UTM:(10S 0573 4143 1000)",2.0,1,430,37.4354,-122.1692,0,0.330,"UTM:(10S 0573 4143 1000)",""
"UTM:(10S 0573 4144 1000)",3.4,1,431,37.4445,-122.1691,0,0.330,"UTM:(10S 0573 4144 1000)",""
"UTM:(10S 0573 4146 1000)",2.0,3,431,37.4625,-122.1689,0,0.311,"UTM:(10S 0573 4146 1000)",""
"UTM:(10S 0574 4144 1000)",4.6,4,430,37.4444,-122.1578,0,0.302,"UTM:(10S 0574 4144 1000)",""
"UTM:(10S 0574 4175 1000)",2.0,2,442,37.7237,-122.1546,0,0.320,"UTM:(10S 0574 4175 1000)",""
"UTM:(10S 0575 4171 1000)",2.2,1,439,37.6876,-122.1437,0,0.330,"UTM:(10S 0575 4171 1000)",""
"UTM:(10S 0575 4195 1000)",1.0,1,450,37.9039,-122.1412,0,0.330,"UTM:(10S 0575 4195 1000)",""
"UTM:(10S 0575 4212 1000)",2.0,1,458,38.0571,-122.1395,0,0.330,"UTM:(10S 0575 4212 1000)",""
"UTM:(10S 0576 4145 1000)",1.0,1,428,37.4532,-122.1351,0,0.330,"UTM:(10S 0576 4145 1000)",""
"UTM:(10S 0576 4175 1000)",1.0,1,440,37.7236,-122.1319,0,0.330,"UTM:(10S 0576 4175 1000)",""
"UTM:(10S 0576 4189 1000)",1.0,1,446,37.8498,-122.1304,0,0.330,"UTM:(10S 0576 4189 1000)",""
"UTM:(10S 0577 4102 1000)",1.0,1,413,37.0656,-122.1283,0,0.330,"UTM:(10S 0577 4102 1000)",""
"UTM:(10S 0577 4111 1000)",1.0,1,416,37.1467,-122.1273,0,0.330,"UTM:(10S 0577 4111 1000)",""
"UTM:(10S 0577 4142 1000)",1.0,1,426,37.4261,-122.1241,0,0.330,"UTM:(10S 0577 4142 1000)",""
"UTM:(10S 0577 4144 1000)",2.0,3,427,37.4441,-122.1239,0,0.311,"UTM:(10S 0577 4144 1000)",""
"UTM:(10S 0577 4165 1000)",4.1,1,435,37.6334,-122.1216,0,0.330,"UTM:(10S 0577 4165 1000)",""
"UTM:(10S 0578 4108 1000)",2.0,1,414,37.1196,-122.1163,0,0.330,"UTM:(10S 0578 4108 1000)",""
"UTM:(10S 0578 4137 1000)",2.0,4,424,37.3809,-122.1133,0,0.302,"UTM:(10S 0578 4137 1000)",""
"UTM:(10S 0578 4139 1000)",1.0,1,424,37.3989,-122.1131,0,0.330,"UTM:(10S 0578 4139 1000)",""
"UTM:(10S 0578 4140 1000)",1.0,1,425,37.4079,-122.1130,0,0.330,"UTM:(10S 0578 4140 1000)",""
"UTM:(10S 0578 4168 1000)",2.0,1,436,37.6604,-122.1100,0,0.330,"UTM:(10S 0578 4168 1000)",""
"UTM:(10S 0578 4312 1000)",2.0,1,513,38.9579,-122.0940,0,0.330,"UTM:(10S 0578 4312 1000)",""
"UTM:(10S 0579 4134 1000)",1.0,2,422,37.3538,-122.1023,0,0.320,"UTM:(10S 0579 4134 1000)",""
"UTM:(10S 0579 4138 1000)",1.0,2,423,37.3898,-122.1019,0,0.320,"UTM:(10S 0579 4138 1000)",""
"UTM:(10S 0579 4140 1000)",1.0,1,424,37.4078,-122.1017,0,0.330,"UTM:(10S 0579 4140 1000)",""
"UTM:(10S 0579 4200 1000)",2.0,1,449,37.9487,-122.0951,0,0.330,"UTM:(10S 0579 4200 1000)",""
"UTM:(10S 0580 4105 1000)",2.0,1,411,37.0923,-122.0942,0,0.330,"UTM:(10S 0580 4105 1000)",""
"UTM:(10S 0580 4120 1000)",1.0,1,416,37.2276,-122.0926,0,0.330,"UTM:(10S 0580 4120 1000)",""
"UTM:(10S 0580 4140 1000)",1.0,1,423,37.4078,-122.0904,0,0.330,"UTM:(10S 0580 4140 1000)",""
"UTM:(10S 0580 4164 1000)",2.0,1,432,37.6241,-122.0877,0,0.330,"UTM:(10S 0580 4164 1000)",""
"UTM:(10S 0580 4169 1000)",2.0,1,434,37.6692,-122.0872,0,0.330,"UTM:(10S 0580 4169 1000)",""
"UTM:(10S 0580 4197 1000)",1.0,1,447,37.9215,-122.0841,0,0.330,"UTM:(10S 0580 4197 1000)",""
"UTM:(10S 0580 4200 1000)",1.0,1,448,37.9485,-122.0838,0,0.330,"UTM:(10S 0580 4200 1000)",""
"UTM:(10S 0580 4205 1000)",1.0,1,450,37.9935,-122.0832,0,0.330,"UTM:(10S 0580 4205 1000)",""
"UTM:(10S 0580 4233 1000)",2.0,1,465,38.2459,-122.0800,0,0.330,"UTM:(10S 0580 4233 1000)",""
"UTM:(10S 0581 4099 1000)",2.2,1,409,37.0382,-122.0836,0,0.330,"UTM:(10S 0581 4099 1000)",""
"UTM:(10S 0581 4132 1000)",2.0,1,419,37.3356,-122.0800,0,0.330,"UTM:(10S 0581 4132 1000)",""
"UTM:(10S 0581 4133 1000)",2.7,1,419,37.3447,-122.0799,0,0.330,"UTM:(10S 0581 4133 1000)",""
"UTM:(10S 0581 4134 1000)",2.0,1,420,37.3537,-122.0798,0,0.330,"UTM:(10S 0581 4134 1000)",""
"UTM:(10S 0581 4138 1000)",2.0,6,421,37.3897,-122.0793,0,0.285,"UTM:(10S 0581 4138 1000)",""
"UTM:(10S 0581 4196 1000)",2.2,1,445,37.9124,-122.0728,0,0.330,"UTM:(10S 0581 4196 1000)",""
"UTM:(10S 0581 4198 1000)",2.9,2,446,37.9305,-122.0727,0,0.320,"UTM:(10S 0581 4198 1000)",""
"UTM:(10S 0581 4199 1000)",2.2,1,447,37.9395,-122.0725,0,0.330,"UTM:(10S 0581 4199 1000)",""
"UTM:(10S 0581 4233 1000)",2.0,1,464,38.2459,-122.0686,0,0.330,"UTM:(10S 0581 4233 1000)",""
"UTM:(10S 0582 4100 1000)",2.0,1,408,37.0471,-122.0722,0,0.330,"UTM:(10S 0582 4100 1000)",""
"UTM:(10S 0582 4133 1000)",2.0,1,418,37.3445,-122.0686,0,0.330,"UTM:(10S 0582 4133 1000)",""
"UTM:(10S 0582 4195 1000)",2.0,5,444,37.9033,-122.0616,0,0.293,"UTM:(10S 0582 4195 1000)",""
"UTM:(10S 0582 4200 1000)",2.0,4,446,37.9484,-122.0610,0,0.302,"UTM:(10S 0582 4200 1000)",""
"UTM:(10S 0582 4234 1000)",2.2,1,464,38.2548,-122.0571,0,0.330,"UTM:(10S 0582 4234 1000)",""
"UTM:(10S 0582 4367 1000)",3.8,1,546,39.4532,-122.0411,0,0.330,"UTM:(10S 0582 4367 1000)",""
"UTM:(10S 0583 4129 1000)",1.0,1,416,37.3084,-122.0577,0,0.330,"UTM:(10S 0583 4129 1000)",""
"UTM:(10S 0583 4136 1000)",1.0,1,418,37.3714,-122.0570,0,0.330,"UTM:(10S 0583 4136 1000)",""
"UTM:(10S 0583 4138 1000)",1.0,2,419,37.3895,-122.0567,0,0.320,"UTM:(10S 0583 4138 1000)",""
"UTM:(10S 0583 4158 1000)",1.0,1,427,37.5697,-122.0545,0,0.330,"UTM:(10S 0583 4158 1000)",""
"UTM:(10S 0583 4233 1000)",2.1,2,462,38.2456,-122.0457,0,0.320,"UTM:(10S 0583 4233 1000)",""
"UTM:(10S 0583 4235 1000)",2.0,2,463,38.2636,-122.0455,0,0.320,"UTM:(10S 0583 4235 1000)",""
"UTM:(10S 0584 4130 1000)",1.0,1,415,37.3174,-122.0463,0,0.330,"UTM:(10S 0584 4130 1000)",""
"UTM:(10S 0584 4137 1000)",3.1,1,418,37.3804,-122.0455,0,0.330,"UTM:(10S 0584 4137 1000)",""
"UTM:(10S 0584 4138 1000)",2.2,1,418,37.3894,-122.0454,0,0.330,"UTM:(10S 0584 4138 1000)",""
"UTM:(10S 0584 4165 1000)",2.0,1,429,37.6328,-122.0423,0,0.330,"UTM:(10S 0584 4165 1000)",""
"UTM:(10S 0584 4190 1000)",2.7,1,440,37.8580,-122.0394,0,0.330,"UTM:(10S 0584 4190 1000)",""
"UTM:(10S 0584 4192 1000)",3.1,1,441,37.8760,-122.0392,0,0.330,"UTM:(10S 0584 4192 1000)",""
"UTM:(10S 0584 4193 1000)",1.0,2,441,37.8850,-122.0391,0,0.320,"UTM:(10S 0584 4193 1000)",""
"UTM:(10S 0584 4203 1000)",2.2,2,446,37.9752,-122.0378,0,0.320,"UTM:(10S 0584 4203 1000)",""
"UTM:(10S 0584 4232 1000)",2.3,7,461,38.2366,-122.0344,0,0.277,"UTM:(10S 0584 4232 1000)",""
"UTM:(10S 0584 4233 1000)",2.0,1,461,38.2456,-122.0343,0,0.330,"UTM:(10S 0584 4233 1000)",""
"UTM:(10S 0584 4235 1000)",2.0,5,462,38.2635,-122.0341,0,0.293,"UTM:(10S 0584 4235 1000)",""
