# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10S 0541 4205 1000)",4.3,1,277,37.9962,-122.5274,0,"UTM:(10S 0541 4205 1000)",""
"UTM:(10S 0542 4197 1000)",2.0,1,271,37.9241,-122.5164,0,"UTM:(10S 0542 4197 1000)",""
"UTM:(10S 0552 4183 1000)",2.0,1,254,37.7974,-122.4037,0,"UTM:(10S 0552 4183 1000)",""
"UTM:(10S 0567 4149 1000)",2.7,2,221,37.4900,-122.2364,0,"UTM:(10S 0567 4149 1000)",""
"UTM:(10S 0575 4143 1000)",3.3,2,211,37.4352,-122.1466,0,"UTM:(10S 0575 4143 1000)",""
"UTM:(10S 0575 4145 1000)",3.8,2,212,37.4532,-122.1464,0,"UTM:(10S 0575 4145 1000)",""
"UTM:(10S 0577 4142 1000)",5.4,1,209,37.4261,-122.1241,0,"UTM:(10S 0577 4142 1000)",""
"UTM:(10S 0582 4165 1000)",2.0,1,220,37.6330,-122.0650,0,"UTM:(10S 0582 4165 1000)",""
"UTM:(10S 0586 4094 1000)",2.5,1,175,36.9926,-122.0280,0,"UTM:(10S 0586 4094 1000)",""
"UTM:(10S 0590 4131 1000)",2.7,1,192,37.3257,-121.9785,0,"UTM:(10S 0590 4131 1000)",""
"UTM:(10S 0593 4175 1000)",4.1,1,220,37.7219,-121.9391,0,"UTM:(10S 0593 4175 1000)",""
"UTM:(10S 0593 4178 1000)",2.7,1,222,37.7490,-121.9386,0,"UTM:(10S 0593 4178 1000)",""
"UTM:(10S 0614 4171 1000)",2.0,1,203,37.6835,-121.7014,0,"UTM:(10S 0614 4171 1000)",""
"UTM:(10S 0620 4059 1000)",3.1,1,130,36.6735,-121.6515,0,"UTM:(10S 0620 4059 1000)",""
"UTM:(10S 0632 4270 1000)",2.5,1,279,38.5731,-121.4789,0,"UTM:(10S 0632 4270 1000)",""
"UTM:(10S 0639 4041 1000)",5.0,1,106,36.5087,-121.4422,0,"UTM:(10S 0639 4041 1000)",""
"UTM:(10S 0675 4168 1000)",3.4,1,169,37.6469,-121.0107,0,"UTM:(10S 0675 4168 1000)",""
"UTM:(10S 0711 3902 1000)",6.0,1,114,35.2433,-120.6756,0,"UTM:(10S 0711 3902 1000)",""
"UTM:(10S 0712 3905 1000)",3.8,1,111,35.2701,-120.6638,0,"UTM:(10S 0712 3905 1000)",""
"UTM:(10S 0712 3906 1000)",5.2,1,110,35.2791,-120.6636,0,"UTM:(10S 0712 3906 1000)",""
"UTM:(10S 0729 4207 1000)",3.8,1,195,37.9861,-120.3868,0,"UTM:(10S 0729 4207 1000)",""
"UTM:(10S 0730 4016 1000)",8.9,1,15,36.2660,-120.4341,0,"UTM:(10S 0730 4016 1000)",""
"UTM:(10S 0736 4003 1000)",9.1,1,14,36.1474,-120.3713,0,"UTM:(10S 0736 4003 1000)",""
"UTM:(10S 0737 4002 1000)",8.4,2,14,36.1381,-120.3605,0,"UTM:(10S 0737 4002 1000)",""
"UTM:(10S 0738 4002 1000)",7.6,2,14,36.1379,-120.3494,0,"UTM:(10S 0738 4002 1000)",""
"UTM:(11S 0236 3811 1000)",4.6,1,206,34.4114,-119.8668,0,"UTM:(11S 0236 3811 1000)",""
"UTM:(11S 0238 3811 1000)",3.4,1,206,34.4119,-119.8451,0,"UTM:(11S 0238 3811 1000)",""
"UTM:(11S 0246 4008 1000)",6.0,1,45,36.1882,-119.8190,0,"UTM:(11S 0246 4008 1000)",""
"UTM:(11S 0246 4078 1000)",2.2,1,78,36.8184,-119.8420,0,"UTM:(11S 0246 4078 1000)",""
"UTM:(11S 0247 4075 1000)",4.8,1,76,36.7917,-119.8298,0,"UTM:(11S 0247 4075 1000)",""
"UTM:(11S 0249 4071 1000)",3.4,1,74,36.7562,-119.8061,0,"UTM:(11S 0249 4071 1000)",""
"UTM:(11S 0250 4020 1000)",4.3,1,49,36.2973,-119.7784,0,"UTM:(11S 0250 4020 1000)",""
"UTM:(11S 0250 4022 1000)",5.3,1,49,36.3152,-119.7791,0,"UTM:(11S 0250 4022 1000)",""
"UTM:(11S 0251 4076 1000)",6.8,1,79,36.8017,-119.7853,0,"UTM:(11S 0251 4076 1000)",""
"UTM:(11S 0256 4021 1000)",6.6,1,55,36.3077,-119.7120,0,"UTM:(11S 0256 4021 1000)",""
"UTM:(11S 0258 4075 1000)",2.7,1,83,36.7946,-119.7066,0,"UTM:(11S 0258 4075 1000)",""
"UTM:(11S 0266 4052 1000)",5.3,1,75,36.5894,-119.6101,0,"UTM:(11S 0266 4052 1000)",""
"UTM:(11S 0289 4010 1000)",4.3,1,87,36.2164,-119.3418,0,"UTM:(11S 0289 4010 1000)",""
"UTM:(11S 0289 4021 1000)",5.9,1,87,36.3156,-119.3448,0,"UTM:(11S 0289 4021 1000)",""
"UTM:(11S 0290 4008 1000)",4.3,1,88,36.1987,-119.3302,0,"UTM:(11S 0290 4008 1000)",""
"UTM:(11S 0297 4022 1000)",3.4,1,95,36.3263,-119.2559,0,"UTM:(11S 0297 4022 1000)",""
"UTM:(11S 0312 4009 1000)",4.8,1,110,36.2122,-119.0858,0,"UTM:(11S 0312 4009 1000)",""
"UTM:(11S 0314 3914 1000)",3.8,2,150,35.3566,-119.0416,0,"UTM:(11S 0314 3914 1000)",""
"UTM:(11S 0316 3994 1000)",6.1,1,116,36.0778,-119.0378,0,"UTM:(11S 0316 3994 1000)",""
"UTM:(11S 0317 3994 1000)",4.2,1,117,36.0780,-119.0267,0,"UTM:(11S 0317 3994 1000)",""
"UTM:(11S 0351 3784 1000)",2.0,1,274,34.1910,-118.6115,0,"UTM:(11S 0351 3784 1000)",""
"UTM:(11S 0356 3789 1000)",2.0,1,273,34.2367,-118.5582,0,"UTM:(11S 0356 3789 1000)",""
"UTM:(11S 0363 3798 1000)",2.0,1,269,34.3188,-118.4837,0,"UTM:(11S 0363 3798 1000)",""
"UTM:(11S 0426 3945 1000)",3.1,1,234,35.6506,-117.8119,0,"UTM:(11S 0426 3945 1000)",""
"UTM:(11S 0437 3943 1000)",3.8,1,245,35.6334,-117.6903,0,"UTM:(11S 0437 3943 1000)",""
