# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10S 0538 4294 1000)",2.0,1,205,38.7984,-122.5566,0,"UTM:(10S 0538 4294 1000)",""
"UTM:(10S 0545 4181 1000)",5.9,1,99,37.7797,-122.4833,0,"UTM:(10S 0545 4181 1000)",""
"UTM:(10S 0547 4193 1000)",5.5,1,108,37.8877,-122.4598,0,"UTM:(10S 0547 4193 1000)",""
"UTM:(10S 0555 4187 1000)",3.8,1,99,37.8332,-122.3693,0,"UTM:(10S 0555 4187 1000)",""
"UTM:(10S 0557 4198 1000)",4.6,1,109,37.9322,-122.3457,0,"UTM:(10S 0557 4198 1000)",""
"UTM:(10S 0557 4200 1000)",5.6,1,110,37.9503,-122.3456,0,"UTM:(10S 0557 4200 1000)",""
"UTM:(10S 0563 4191 1000)",2.5,1,100,37.8687,-122.2781,0,"UTM:(10S 0563 4191 1000)",""
"UTM:(10S 0563 4216 1000)",4.2,1,123,38.0940,-122.2758,0,"UTM:(10S 0563 4216 1000)",""
"UTM:(10S 0565 4148 1000)",6.7,1,62,37.4811,-122.2592,0,"UTM:(10S 0565 4148 1000)",""
"UTM:(10S 0565 4192 1000)",2.0,1,100,37.8777,-122.2552,0,"UTM:(10S 0565 4192 1000)",""
"UTM:(10S 0569 4186 1000)",5.8,1,93,37.8233,-122.2103,0,"UTM:(10S 0569 4186 1000)",""
"UTM:(10S 0570 4141 1000)",6.3,1,53,37.4177,-122.2033,0,"UTM:(10S 0570 4141 1000)",""
"UTM:(10S 0574 4139 1000)",7.7,1,50,37.3992,-122.1583,0,"UTM:(10S 0574 4139 1000)",""
"UTM:(10S 0582 4141 1000)",7.1,1,48,37.4167,-122.0677,0,"UTM:(10S 0582 4141 1000)",""
"UTM:(10S 0584 4095 1000)",7.7,1,23,37.0019,-122.0503,0,"UTM:(10S 0584 4095 1000)",""
"UTM:(10S 0588 4101 1000)",2.0,1,20,37.0555,-122.0046,0,"UTM:(10S 0588 4101 1000)",""
"UTM:(10S 0591 4121 1000)",7.4,1,29,37.2356,-121.9685,0,"UTM:(10S 0591 4121 1000)",""
"UTM:(10S 0592 4124 1000)",7.4,1,31,37.2625,-121.9568,0,"UTM:(10S 0592 4124 1000)",""
"UTM:(10S 0592 4131 1000)",6.6,2,37,37.3255,-121.9559,0,"UTM:(10S 0592 4131 1000)",""
"UTM:(10S 0592 4201 1000)",2.0,1,103,37.9564,-121.9470,0,"UTM:(10S 0592 4201 1000)",""
"UTM:(10S 0594 4103 1000)",8.9,1,18,37.0731,-121.9369,0,"UTM:(10S 0594 4103 1000)",""
"UTM:(10S 0597 4184 1000)",5.8,1,86,37.8026,-121.8924,0,"UTM:(10S 0597 4184 1000)",""
"UTM:(10S 0615 4071 1000)",7.8,1,36,36.7823,-121.7056,0,"UTM:(10S 0615 4071 1000)",""
"UTM:(10S 0642 4084 1000)",2.0,1,48,36.8957,-121.4007,0,"UTM:(10S 0642 4084 1000)",""
"UTM:(10S 0690 4104 1000)",6.1,1,92,37.0674,-120.8572,0,"UTM:(10S 0690 4104 1000)",""
"UTM:(11S 0371 3745 1000)",2.0,1,475,33.8419,-118.3888,0,"UTM:(11S 0371 3745 1000)",""
"UTM:(11S 0470 3804 1000)",3.1,1,507,34.3815,-117.3209,0,"UTM:(11S 0470 3804 1000)",""
