# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10T 042 508 10000)",2.0,2,532,45.9145,-123.9671,0,"UTM:(10T 042 508 10000)",""
"UTM:(10T 042 509 10000)",2.0,1,542,46.0044,-123.9686,0,"UTM:(10T 042 509 10000)",""
"UTM:(10T 043 431 10000)",3.1,1,318,38.9815,-123.7505,0,"UTM:(10T 043 431 10000)",""
"UTM:(10T 043 434 10000)",2.9,5,293,39.2519,-123.7533,0,"UTM:(10T 043 434 10000)",""
"UTM:(10T 043 435 10000)",2.0,6,285,39.3420,-123.7543,0,"UTM:(10T 043 435 10000)",""
"UTM:(10T 043 436 10000)",2.0,14,278,39.4321,-123.7552,0,"UTM:(10T 043 436 10000)",""
"UTM:(10T 043 441 10000)",3.1,1,241,39.8825,-123.7602,0,"UTM:(10T 043 441 10000)",""
"UTM:(10T 043 443 10000)",3.3,2,228,40.0627,-123.7621,0,"UTM:(10T 043 443 10000)",""
"UTM:(10T 043 444 10000)",2.6,2,222,40.1529,-123.7631,0,"UTM:(10T 043 444 10000)",""
"UTM:(10T 043 445 10000)",2.0,3,216,40.2429,-123.7642,0,"UTM:(10T 043 445 10000)",""
"UTM:(10T 043 503 10000)",2.2,1,489,45.4655,-123.8314,0,"UTM:(10T 043 503 10000)",""
"UTM:(10T 044 453 10000)",3.4,1,192,40.9643,-123.6535,0,"UTM:(10T 044 453 10000)",""
"UTM:(10T 044 454 10000)",3.1,1,190,41.0543,-123.6544,0,"UTM:(10T 044 454 10000)",""
"UTM:(10T 044 465 10000)",2.0,5,201,42.0451,-123.6646,0,"UTM:(10T 044 465 10000)",""
"UTM:(10T 044 466 10000)",2.8,3,205,42.1351,-123.6654,0,"UTM:(10T 044 466 10000)",""
"UTM:(10T 044 476 10000)",2.1,1,263,43.0357,-123.6751,0,"UTM:(10T 044 476 10000)",""
"UTM:(10T 044 516 10000)",2.0,2,614,46.6363,-123.7185,0,"UTM:(10T 044 516 10000)",""
"UTM:(10T 045 429 10000)",1.0,1,345,38.8026,-123.5182,0,"UTM:(10T 045 429 10000)",""
"UTM:(10T 045 449 10000)",2.0,1,214,40.6046,-123.5318,0,"UTM:(10T 045 449 10000)",""
"UTM:(10T 045 466 10000)",2.0,4,214,42.1358,-123.5445,0,"UTM:(10T 045 466 10000)",""
"UTM:(10T 045 470 10000)",2.7,2,233,42.4960,-123.5476,0,"UTM:(10T 045 470 10000)",""
"UTM:(10T 045 473 10000)",3.4,1,251,42.7662,-123.5500,0,"UTM:(10T 045 473 10000)",""
"UTM:(10T 045 476 10000)",2.0,1,270,43.0363,-123.5523,0,"UTM:(10T 045 476 10000)",""
"UTM:(10T 045 477 10000)",2.7,1,277,43.1264,-123.5531,0,"UTM:(10T 045 477 10000)",""
"UTM:(10T 045 478 10000)",2.2,1,284,43.2164,-123.5540,0,"UTM:(10T 045 478 10000)",""
"UTM:(10T 045 489 10000)",2.7,1,372,44.2068,-123.5632,0,"UTM:(10T 045 489 10000)",""
"UTM:(10T 046 428 10000)",1.0,1,359,38.7130,-123.4025,0,"UTM:(10T 046 428 10000)",""
"UTM:(10T 046 436 10000)",2.6,3,297,39.4338,-123.4066,0,"UTM:(10T 046 436 10000)",""
"UTM:(10T 046 458 10000)",3.8,1,206,41.4158,-123.4188,0,"UTM:(10T 046 458 10000)",""
"UTM:(10T 046 469 10000)",2.5,14,237,42.4065,-123.4253,0,"UTM:(10T 046 469 10000)",""
"UTM:(10T 046 470 10000)",2.6,15,242,42.4965,-123.4259,0,"UTM:(10T 046 470 10000)",""
"UTM:(10T 046 471 10000)",2.9,4,247,42.5867,-123.4265,0,"UTM:(10T 046 471 10000)",""
"UTM:(10T 046 472 10000)",2.0,1,253,42.6766,-123.4271,0,"UTM:(10T 046 472 10000)",""
"UTM:(10T 046 473 10000)",2.0,2,258,42.7668,-123.4277,0,"UTM:(10T 046 473 10000)",""
"UTM:(10T 046 477 10000)",2.0,5,284,43.1269,-123.4303,0,"UTM:(10T 046 477 10000)",""
"UTM:(10T 046 478 10000)",3.0,5,291,43.2169,-123.4308,0,"UTM:(10T 046 478 10000)",""
"UTM:(10T 046 479 10000)",3.7,3,298,43.3070,-123.4315,0,"UTM:(10T 046 479 10000)",""
"UTM:(10T 046 496 10000)",2.9,1,437,44.8376,-123.4428,0,"UTM:(10T 046 496 10000)",""
"UTM:(10T 047 436 10000)",2.0,1,304,39.4342,-123.2904,0,"UTM:(10T 047 436 10000)",""
