# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 0352 3784 1000)",2.7,1,63,34.1911,-118.6008,0,"UTM:(11S 0352 3784 1000)",""
"UTM:(11S 0365 3770 1000)",3.1,1,56,34.0666,-118.4575,0,"UTM:(11S 0365 3770 1000)",""
"UTM:(11S 0367 3795 1000)",4.7,1,50,34.2922,-118.4397,0,"UTM:(11S 0367 3795 1000)",""
"UTM:(11S 0368 3763 1000)",3.1,1,57,34.0038,-118.4239,0,"UTM:(11S 0368 3763 1000)",""
"UTM:(11S 0372 3788 1000)",1.0,1,46,34.2297,-118.3844,0,"UTM:(11S 0372 3788 1000)",""
"UTM:(11S 0373 3743 1000)",5.5,1,66,33.8242,-118.3670,0,"UTM:(11S 0373 3743 1000)",""
"UTM:(11S 0376 3764 1000)",3.6,1,51,34.0139,-118.3375,0,"UTM:(11S 0376 3764 1000)",""
"UTM:(11S 0379 3771 1000)",2.2,1,46,34.0773,-118.3059,0,"UTM:(11S 0379 3771 1000)",""
"UTM:(11S 0383 3768 1000)",3.1,1,45,34.0508,-118.2622,0,"UTM:(11S 0383 3768 1000)",""
"UTM:(11S 0384 3769 1000)",3.4,1,44,34.0598,-118.2516,0,"UTM:(11S 0384 3769 1000)",""
"UTM:(11S 0385 3749 1000)",5.6,1,56,33.8796,-118.2381,0,"UTM:(11S 0385 3749 1000)",""
"UTM:(11S 0388 3769 1000)",3.1,1,42,34.0603,-118.2082,0,"UTM:(11S 0388 3769 1000)",""
"UTM:(11S 0390 3775 1000)",4.9,1,38,34.1146,-118.1873,0,"UTM:(11S 0390 3775 1000)",""
"UTM:(11S 0391 3778 1000)",3.4,1,36,34.1418,-118.1769,0,"UTM:(11S 0391 3778 1000)",""
"UTM:(11S 0395 3782 1000)",5.4,1,33,34.1782,-118.1339,0,"UTM:(11S 0395 3782 1000)",""
"UTM:(11S 0397 3734 1000)",3.1,2,65,33.7456,-118.1067,0,"UTM:(11S 0397 3734 1000)",""
"UTM:(11S 0397 3773 1000)",4.1,1,36,34.0973,-118.1112,0,"UTM:(11S 0397 3773 1000)",""
"UTM:(11S 0397 3826 1000)",3.1,1,47,34.5752,-118.1175,0,"UTM:(11S 0397 3826 1000)",""
"UTM:(11S 0400 3741 1000)",2.7,1,58,33.8090,-118.0751,0,"UTM:(11S 0400 3741 1000)",""
"UTM:(11S 0401 3746 1000)",2.2,1,54,33.8542,-118.0648,0,"UTM:(11S 0401 3746 1000)",""
"UTM:(11S 0404 3734 1000)",3.1,1,64,33.7463,-118.0310,0,"UTM:(11S 0404 3734 1000)",""
"UTM:(11S 0404 3744 1000)",3.1,1,55,33.8364,-118.0322,0,"UTM:(11S 0404 3744 1000)",""
"UTM:(11S 0406 3779 1000)",7.0,3,32,34.1522,-118.0143,0,"UTM:(11S 0406 3779 1000)",""
"UTM:(11S 0407 3775 1000)",6.3,1,34,34.1163,-118.0030,0,"UTM:(11S 0407 3775 1000)",""
"UTM:(11S 0408 3776 1000)",5.7,1,33,34.1253,-117.9923,0,"UTM:(11S 0408 3776 1000)",""
"UTM:(11S 0408 3781 1000)",5.5,2,31,34.1705,-117.9928,0,"UTM:(11S 0408 3781 1000)",""
"UTM:(11S 0420 3719 1000)",2.7,1,79,33.6123,-117.8570,0,"UTM:(11S 0420 3719 1000)",""
"UTM:(11S 0421 3747 1000)",3.4,1,55,33.8649,-117.8487,0,"UTM:(11S 0421 3747 1000)",""
"UTM:(11S 0424 3775 1000)",5.9,1,37,34.1176,-117.8187,0,"UTM:(11S 0424 3775 1000)",""
"UTM:(11S 0441 3770 1000)",5.2,1,49,34.0737,-117.6340,0,"UTM:(11S 0441 3770 1000)",""
"UTM:(11S 0444 3770 1000)",2.2,1,51,34.0738,-117.6015,0,"UTM:(11S 0444 3770 1000)",""
