# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 024 381 10000)",3.4,4,144,34.4451,-119.7755,0,"UTM:(11S 024 381 10000)",""
"UTM:(11S 024 405 10000)",3.1,1,326,36.6064,-119.8510,0,"UTM:(11S 024 405 10000)",""
"UTM:(11S 024 407 10000)",2.4,4,344,36.7865,-119.8576,0,"UTM:(11S 024 407 10000)",""
"UTM:(11S 025 380 10000)",2.0,2,131,34.3574,-119.6638,0,"UTM:(11S 025 380 10000)",""
"UTM:(11S 025 381 10000)",3.1,1,135,34.4475,-119.6667,0,"UTM:(11S 025 381 10000)",""
"UTM:(11S 025 401 10000)",2.0,1,286,36.2488,-119.7266,0,"UTM:(11S 025 401 10000)",""
"UTM:(11S 025 406 10000)",3.1,1,332,36.6991,-119.7425,0,"UTM:(11S 025 406 10000)",""
"UTM:(11S 025 407 10000)",2.8,3,341,36.7892,-119.7456,0,"UTM:(11S 025 407 10000)",""
"UTM:(11S 026 380 10000)",2.0,2,122,34.3597,-119.5553,0,"UTM:(11S 026 380 10000)",""
"UTM:(11S 026 391 10000)",3.4,1,194,35.3507,-119.5861,0,"UTM:(11S 026 391 10000)",""
"UTM:(11S 026 399 10000)",3.4,1,263,36.0712,-119.6094,0,"UTM:(11S 026 399 10000)",""
"UTM:(11S 026 402 10000)",3.1,1,291,36.3413,-119.6184,0,"UTM:(11S 026 402 10000)",""
"UTM:(11S 027 380 10000)",3.1,1,113,34.3620,-119.4466,0,"UTM:(11S 027 380 10000)",""
"UTM:(11S 027 399 10000)",3.1,1,259,36.0736,-119.4985,0,"UTM:(11S 027 399 10000)",""
"UTM:(11S 027 403 10000)",3.1,1,296,36.4338,-119.5100,0,"UTM:(11S 027 403 10000)",""
"UTM:(11S 027 407 10000)",1.0,1,334,36.7941,-119.5217,0,"UTM:(11S 027 407 10000)",""
"UTM:(11S 028 373 10000)",2.9,1,94,33.7332,-119.3207,0,"UTM:(11S 028 373 10000)",""
"UTM:(11S 028 377 10000)",2.0,1,94,34.0937,-119.3304,0,"UTM:(11S 028 377 10000)",""
"UTM:(11S 028 379 10000)",2.9,4,100,34.2739,-119.3354,0,"UTM:(11S 028 379 10000)",""
"UTM:(11S 028 380 10000)",2.7,1,104,34.3640,-119.3379,0,"UTM:(11S 028 380 10000)",""
"UTM:(11S 028 402 10000)",2.0,1,284,36.3461,-119.3958,0,"UTM:(11S 028 402 10000)",""
"UTM:(11S 028 404 10000)",2.2,1,303,36.5263,-119.4013,0,"UTM:(11S 028 404 10000)",""
"UTM:(11S 028 407 10000)",3.9,3,331,36.7965,-119.4098,0,"UTM:(11S 028 407 10000)",""
"UTM:(11S 029 378 10000)",2.1,19,87,34.1859,-119.2245,0,"UTM:(11S 029 378 10000)",""
"UTM:(11S 029 379 10000)",2.0,17,91,34.2760,-119.2268,0,"UTM:(11S 029 379 10000)",""
"UTM:(11S 029 381 10000)",2.0,1,101,34.4562,-119.2316,0,"UTM:(11S 029 381 10000)",""
"UTM:(11S 029 392 10000)",3.4,1,187,35.4474,-119.2587,0,"UTM:(11S 029 392 10000)",""
"UTM:(11S 030 377 10000)",2.0,2,75,34.0976,-119.1137,0,"UTM:(11S 030 377 10000)",""
"UTM:(11S 030 378 10000)",2.2,18,78,34.1878,-119.1160,0,"UTM:(11S 030 378 10000)",""
"UTM:(11S 030 379 10000)",2.0,2,82,34.2779,-119.1183,0,"UTM:(11S 030 379 10000)",""
"UTM:(11S 030 380 10000)",1.0,1,87,34.3680,-119.1206,0,"UTM:(11S 030 380 10000)",""
"UTM:(11S 030 391 10000)",2.2,1,174,35.3593,-119.1462,0,"UTM:(11S 030 391 10000)",""
"UTM:(11S 030 402 10000)",3.8,4,278,36.3503,-119.1731,0,"UTM:(11S 030 402 10000)",""
"UTM:(11S 031 378 10000)",2.1,47,69,34.1895,-119.0076,0,"UTM:(11S 031 378 10000)",""
"UTM:(11S 031 379 10000)",2.1,11,73,34.2797,-119.0097,0,"UTM:(11S 031 379 10000)",""
"UTM:(11S 031 380 10000)",2.0,1,79,34.3698,-119.0119,0,"UTM:(11S 031 380 10000)",""
"UTM:(11S 031 391 10000)",3.6,13,170,35.3611,-119.0361,0,"UTM:(11S 031 391 10000)",""
"UTM:(11S 031 392 10000)",3.8,1,180,35.4513,-119.0384,0,"UTM:(11S 031 392 10000)",""
"UTM:(11S 032 376 10000)",2.0,1,53,34.0110,-118.8951,0,"UTM:(11S 032 376 10000)",""
"UTM:(11S 032 377 10000)",3.5,7,56,34.1012,-118.8971,0,"UTM:(11S 032 377 10000)",""
"UTM:(11S 032 378 10000)",2.0,46,60,34.1913,-118.8991,0,"UTM:(11S 032 378 10000)",""
"UTM:(11S 032 379 10000)",2.0,11,65,34.2814,-118.9012,0,"UTM:(11S 032 379 10000)",""
"UTM:(11S 032 380 10000)",2.0,1,72,34.3716,-118.9032,0,"UTM:(11S 032 380 10000)",""
"UTM:(11S 032 391 10000)",2.0,1,167,35.3629,-118.9262,0,"UTM:(11S 032 391 10000)",""
"UTM:(11S 033 376 10000)",2.4,14,44,34.0127,-118.7869,0,"UTM:(11S 033 376 10000)",""
"UTM:(11S 033 377 10000)",2.0,23,47,34.1028,-118.7887,0,"UTM:(11S 033 377 10000)",""
"UTM:(11S 033 378 10000)",2.4,39,52,34.1929,-118.7906,0,"UTM:(11S 033 378 10000)",""
"UTM:(11S 033 379 10000)",2.0,25,58,34.2831,-118.7926,0,"UTM:(11S 033 379 10000)",""
"UTM:(11S 033 380 10000)",2.0,1,65,34.3732,-118.7945,0,"UTM:(11S 033 380 10000)",""
"UTM:(11S 034 376 10000)",3.2,16,35,34.0142,-118.6786,0,"UTM:(11S 034 376 10000)",""
"UTM:(11S 034 377 10000)",2.7,18,38,34.1043,-118.6804,0,"UTM:(11S 034 377 10000)",""
"UTM:(11S 034 378 10000)",2.9,80,44,34.1945,-118.6822,0,"UTM:(11S 034 378 10000)",""
"UTM:(11S 034 379 10000)",2.7,71,51,34.2846,-118.6840,0,"UTM:(11S 034 379 10000)",""
