# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10S 039 450 10000)",2.0,1,301,40.6892,-124.2426,0,"UTM:(10S 039 450 10000)",""
"UTM:(10S 040 451 10000)",1.0,1,304,40.7805,-124.1258,0,"UTM:(10S 040 451 10000)",""
"UTM:(10S 043 434 10000)",2.0,1,151,39.2519,-123.7533,0,"UTM:(10S 043 434 10000)",""
"UTM:(10S 043 436 10000)",2.0,1,165,39.4321,-123.7552,0,"UTM:(10S 043 436 10000)",""
"UTM:(10S 044 433 10000)",1.0,1,137,39.1624,-123.6365,0,"UTM:(10S 044 433 10000)",""
"UTM:(10S 046 428 10000)",1.0,1,94,38.7130,-123.4025,0,"UTM:(10S 046 428 10000)",""
"UTM:(10S 046 431 10000)",1.0,1,109,38.9832,-123.4040,0,"UTM:(10S 046 431 10000)",""
"UTM:(10S 046 437 10000)",2.0,1,154,39.5239,-123.4072,0,"UTM:(10S 046 437 10000)",""
"UTM:(10S 046 492 10000)",2.0,1,683,44.4775,-123.4400,0,"UTM:(10S 046 492 10000)",""
"UTM:(10S 048 426 10000)",3.1,3,69,38.5333,-123.1720,0,"UTM:(10S 048 426 10000)",""
"UTM:(10S 048 433 10000)",1.0,1,109,39.1641,-123.1736,0,"UTM:(10S 048 433 10000)",""
"UTM:(10S 048 434 10000)",3.6,4,118,39.2542,-123.1739,0,"UTM:(10S 048 434 10000)",""
"UTM:(10S 049 424 10000)",3.5,4,57,38.3531,-123.0572,0,"UTM:(10S 049 424 10000)",""
"UTM:(10S 049 425 10000)",3.0,7,57,38.4433,-123.0573,0,"UTM:(10S 049 425 10000)",""
"UTM:(10S 049 426 10000)",3.6,8,59,38.5334,-123.0573,0,"UTM:(10S 049 426 10000)",""
"UTM:(10S 049 429 10000)",1.0,1,74,38.8037,-123.0575,0,"UTM:(10S 049 429 10000)",""
"UTM:(10S 049 434 10000)",2.7,1,112,39.2543,-123.0579,0,"UTM:(10S 049 434 10000)",""
"UTM:(10S 049 435 10000)",3.4,2,121,39.3444,-123.0580,0,"UTM:(10S 049 435 10000)",""
"UTM:(10S 050 420 10000)",3.4,1,63,37.9926,-122.9430,0,"UTM:(10S 050 420 10000)",""
"UTM:(10S 050 421 10000)",2.8,3,57,38.0828,-122.9429,0,"UTM:(10S 050 421 10000)",""
"UTM:(10S 050 423 10000)",2.1,3,48,38.2630,-122.9428,0,"UTM:(10S 050 423 10000)",""
"UTM:(10S 050 424 10000)",2.6,6,47,38.3531,-122.9427,0,"UTM:(10S 050 424 10000)",""
"UTM:(10S 050 425 10000)",3.0,12,47,38.4433,-122.9427,0,"UTM:(10S 050 425 10000)",""
"UTM:(10S 050 426 10000)",3.0,16,50,38.5333,-122.9426,0,"UTM:(10S 050 426 10000)",""
"UTM:(10S 050 427 10000)",2.0,3,54,38.6235,-122.9425,0,"UTM:(10S 050 427 10000)",""
"UTM:(10S 050 428 10000)",2.7,2,60,38.7136,-122.9425,0,"UTM:(10S 050 428 10000)",""
"UTM:(10S 050 429 10000)",3.4,1,66,38.8037,-122.9424,0,"UTM:(10S 050 429 10000)",""
"UTM:(10S 050 432 10000)",1.0,1,90,39.0740,-122.9421,0,"UTM:(10S 050 432 10000)",""
"UTM:(10S 051 421 10000)",4.1,9,49,38.0827,-122.8289,0,"UTM:(10S 051 421 10000)",""
"UTM:(10S 051 424 10000)",3.7,46,37,38.3530,-122.8283,0,"UTM:(10S 051 424 10000)",""
"UTM:(10S 051 425 10000)",3.3,32,38,38.4432,-122.8281,0,"UTM:(10S 051 425 10000)",""
"UTM:(10S 051 426 10000)",2.7,26,41,38.5333,-122.8278,0,"UTM:(10S 051 426 10000)",""
"UTM:(10S 051 427 10000)",2.3,16,46,38.6234,-122.8277,0,"UTM:(10S 051 427 10000)",""
"UTM:(10S 051 431 10000)",2.0,2,76,38.9838,-122.8268,0,"UTM:(10S 051 431 10000)",""
"UTM:(10S 051 432 10000)",1.0,1,85,39.0739,-122.8265,0,"UTM:(10S 051 432 10000)",""
"UTM:(10S 052 419 10000)",3.4,6,59,37.9021,-122.7156,0,"UTM:(10S 052 419 10000)",""
"UTM:(10S 052 420 10000)",2.7,1,51,37.9923,-122.7152,0,"UTM:(10S 052 420 10000)",""
"UTM:(10S 052 421 10000)",2.3,3,43,38.0824,-122.7149,0,"UTM:(10S 052 421 10000)",""
"UTM:(10S 052 423 10000)",3.3,27,30,38.2627,-122.7142,0,"UTM:(10S 052 423 10000)",""
"UTM:(10S 052 424 10000)",3.5,124,28,38.3528,-122.7138,0,"UTM:(10S 052 424 10000)",""
"UTM:(10S 052 425 10000)",3.1,266,28,38.4429,-122.7135,0,"UTM:(10S 052 425 10000)",""
"UTM:(10S 052 426 10000)",3.3,26,32,38.5331,-122.7132,0,"UTM:(10S 052 426 10000)",""
"UTM:(10S 052 427 10000)",2.1,1,38,38.6232,-122.7128,0,"UTM:(10S 052 427 10000)",""
"UTM:(10S 052 431 10000)",3.1,1,72,38.9836,-122.7113,0,"UTM:(10S 052 431 10000)",""
"UTM:(10S 053 419 10000)",2.9,12,56,37.9018,-122.6019,0,"UTM:(10S 053 419 10000)",""
"UTM:(10S 053 420 10000)",3.3,68,46,37.9920,-122.6013,0,"UTM:(10S 053 420 10000)",""
"UTM:(10S 053 421 10000)",3.2,65,37,38.0821,-122.6009,0,"UTM:(10S 053 421 10000)",""
"UTM:(10S 053 422 10000)",3.5,7,29,38.1722,-122.6004,0,"UTM:(10S 053 422 10000)",""
