# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 012 421 10000)",2.0,1,475,38.0051,-121.2705,0,"UTM:(11S 012 421 10000)",""
"UTM:(11S 014 417 10000)",2.9,1,431,37.6535,-121.0237,0,"UTM:(11S 014 417 10000)",""
"UTM:(11S 018 384 10000)",2.8,3,192,34.6985,-120.4386,0,"UTM:(11S 018 384 10000)",""
"UTM:(11S 023 381 10000)",5.1,5,139,34.4425,-119.8842,0,"UTM:(11S 023 381 10000)",""
"UTM:(11S 024 381 10000)",4.1,1,129,34.4451,-119.7755,0,"UTM:(11S 024 381 10000)",""
"UTM:(11S 028 394 10000)",5.0,1,163,35.6255,-119.3740,0,"UTM:(11S 028 394 10000)",""
"UTM:(11S 029 378 10000)",5.7,4,85,34.1859,-119.2245,0,"UTM:(11S 029 378 10000)",""
"UTM:(11S 029 379 10000)",6.1,4,83,34.2760,-119.2268,0,"UTM:(11S 029 379 10000)",""
"UTM:(11S 029 396 10000)",2.2,1,176,35.8077,-119.2689,0,"UTM:(11S 029 396 10000)",""
"UTM:(11S 030 380 10000)",4.3,1,72,34.3680,-119.1206,0,"UTM:(11S 030 380 10000)",""
"UTM:(11S 030 381 10000)",5.9,1,73,34.4581,-119.1228,0,"UTM:(11S 030 381 10000)",""
"UTM:(11S 031 378 10000)",5.9,4,68,34.1895,-119.0076,0,"UTM:(11S 031 378 10000)",""
"UTM:(11S 031 391 10000)",4.0,3,123,35.3611,-119.0361,0,"UTM:(11S 031 391 10000)",""
"UTM:(11S 032 378 10000)",6.5,6,60,34.1913,-118.8991,0,"UTM:(11S 032 378 10000)",""
"UTM:(11S 032 379 10000)",5.2,1,57,34.2814,-118.9012,0,"UTM:(11S 032 379 10000)",""
"UTM:(11S 032 391 10000)",2.7,1,119,35.3629,-118.9262,0,"UTM:(11S 032 391 10000)",""
"UTM:(11S 033 378 10000)",6.5,2,52,34.1929,-118.7906,0,"UTM:(11S 033 378 10000)",""
"UTM:(11S 033 379 10000)",7.1,5,49,34.2831,-118.7926,0,"UTM:(11S 033 379 10000)",""
"UTM:(11S 034 377 10000)",6.6,1,52,34.1043,-118.6804,0,"UTM:(11S 034 377 10000)",""
"UTM:(11S 034 378 10000)",6.8,8,46,34.1945,-118.6822,0,"UTM:(11S 034 378 10000)",""
"UTM:(11S 034 379 10000)",7.1,10,42,34.2846,-118.6840,0,"UTM:(11S 034 379 10000)",""
"UTM:(11S 035 376 10000)",5.4,3,55,34.0156,-118.5703,0,"UTM:(11S 035 376 10000)",""
"UTM:(11S 035 377 10000)",5.9,2,48,34.1058,-118.5720,0,"UTM:(11S 035 377 10000)",""
"UTM:(11S 035 378 10000)",7.3,48,41,34.1959,-118.5737,0,"UTM:(11S 035 378 10000)",""
"UTM:(11S 035 379 10000)",7.6,15,37,34.2861,-118.5754,0,"UTM:(11S 035 379 10000)",""
"UTM:(11S 035 380 10000)",7.6,4,34,34.3762,-118.5770,0,"UTM:(11S 035 380 10000)",""
