# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10S 0734 3861 1000)",2.0,1,266,34.8688,-120.4346,0,"UTM:(10S 0734 3861 1000)",""
"UTM:(10S 0734 3862 1000)",2.9,2,266,34.8778,-120.4343,0,"UTM:(10S 0734 3862 1000)",""
"UTM:(10S 0734 3867 1000)",2.7,1,268,34.9229,-120.4329,0,"UTM:(10S 0734 3867 1000)",""
"UTM:(10S 0734 3869 1000)",2.0,1,269,34.9409,-120.4323,0,"UTM:(10S 0734 3869 1000)",""
"UTM:(10S 0734 3870 1000)",2.0,2,269,34.9499,-120.4321,0,"UTM:(10S 0734 3870 1000)",""
"UTM:(10S 0734 3871 1000)",2.2,1,269,34.9589,-120.4318,0,"UTM:(10S 0734 3871 1000)",""
"UTM:(10S 0735 3841 1000)",2.2,1,259,34.6884,-120.4292,0,"UTM:(10S 0735 3841 1000)",""
"UTM:(10S 0735 3842 1000)",3.9,1,259,34.6974,-120.4290,0,"UTM:(10S 0735 3842 1000)",""
"UTM:(10S 0735 3861 1000)",2.7,2,265,34.8686,-120.4236,0,"UTM:(10S 0735 3861 1000)",""
"UTM:(10S 0735 3870 1000)",2.2,1,268,34.9497,-120.4211,0,"UTM:(10S 0735 3870 1000)",""
"UTM:(10S 0736 3862 1000)",2.0,1,264,34.8774,-120.4124,0,"UTM:(10S 0736 3862 1000)",""
"UTM:(10S 0740 3839 1000)",3.1,1,253,34.6693,-120.3753,0,"UTM:(10S 0740 3839 1000)",""
"UTM:(10S 0741 3839 1000)",2.7,1,252,34.6690,-120.3644,0,"UTM:(10S 0741 3839 1000)",""
"UTM:(10S 0746 3857 1000)",3.4,1,253,34.8299,-120.3046,0,"UTM:(10S 0746 3857 1000)",""
"UTM:(10S 0748 3848 1000)",2.2,1,248,34.7484,-120.2854,0,"UTM:(10S 0748 3848 1000)",""
"UTM:(10S 0756 3833 1000)",2.0,2,236,34.6113,-120.2027,0,"UTM:(10S 0756 3833 1000)",""
"UTM:(10S 0757 3834 1000)",2.7,2,236,34.6201,-120.1915,0,"UTM:(10S 0757 3834 1000)",""
"UTM:(10S 0758 3833 1000)",2.0,1,234,34.6108,-120.1809,0,"UTM:(10S 0758 3833 1000)",""
"UTM:(10S 0762 3831 1000)",2.7,2,230,34.5918,-120.1379,0,"UTM:(10S 0762 3831 1000)",""
"UTM:(10S 0762 3832 1000)",2.0,2,230,34.6008,-120.1376,0,"UTM:(10S 0762 3832 1000)",""
"UTM:(10S 0762 3833 1000)",2.7,1,231,34.6098,-120.1373,0,"UTM:(10S 0762 3833 1000)",""
"UTM:(10S 0763 3832 1000)",2.8,7,229,34.6005,-120.1267,0,"UTM:(10S 0763 3832 1000)",""
"UTM:(10S 0764 3839 1000)",3.1,1,230,34.6633,-120.1136,0,"UTM:(10S 0764 3839 1000)",""
"UTM:(10S 0765 3836 1000)",2.0,1,228,34.6360,-120.1037,0,"UTM:(10S 0765 3836 1000)",""
"UTM:(10S 0766 3836 1000)",2.0,1,228,34.6358,-120.0928,0,"UTM:(10S 0766 3836 1000)",""
"UTM:(10S 0766 3838 1000)",2.7,1,228,34.6538,-120.0922,0,"UTM:(10S 0766 3838 1000)",""
"UTM:(10S 0767 3824 1000)",2.7,1,223,34.5275,-120.0857,0,"UTM:(10S 0767 3824 1000)",""
"UTM:(10S 0773 3835 1000)",2.5,1,221,34.6249,-120.0168,0,"UTM:(10S 0773 3835 1000)",""
"UTM:(11S 0232 3815 1000)",4.1,1,206,34.4464,-119.9115,0,"UTM:(11S 0232 3815 1000)",""
"UTM:(11S 0233 3814 1000)",3.1,4,204,34.4377,-119.9004,0,"UTM:(11S 0233 3814 1000)",""
"UTM:(11S 0234 3813 1000)",2.8,8,203,34.4289,-119.8892,0,"UTM:(11S 0234 3813 1000)",""
"UTM:(11S 0234 3814 1000)",2.9,4,203,34.4379,-119.8895,0,"UTM:(11S 0234 3814 1000)",""
"UTM:(11S 0235 3812 1000)",3.8,2,202,34.4201,-119.8780,0,"UTM:(11S 0235 3812 1000)",""
"UTM:(11S 0235 3813 1000)",3.4,4,202,34.4291,-119.8783,0,"UTM:(11S 0235 3813 1000)",""
"UTM:(11S 0236 3811 1000)",2.2,1,201,34.4114,-119.8668,0,"UTM:(11S 0236 3811 1000)",""
"UTM:(11S 0236 3812 1000)",3.0,5,201,34.4204,-119.8671,0,"UTM:(11S 0236 3812 1000)",""
"UTM:(11S 0236 3813 1000)",3.2,19,201,34.4294,-119.8674,0,"UTM:(11S 0236 3813 1000)",""
"UTM:(11S 0236 3814 1000)",3.2,3,201,34.4385,-119.8677,0,"UTM:(11S 0236 3814 1000)",""
"UTM:(11S 0237 3811 1000)",3.2,22,200,34.4116,-119.8560,0,"UTM:(11S 0237 3811 1000)",""
"UTM:(11S 0237 3812 1000)",2.2,1,200,34.4206,-119.8563,0,"UTM:(11S 0237 3812 1000)",""
"UTM:(11S 0237 3813 1000)",3.3,21,200,34.4296,-119.8565,0,"UTM:(11S 0237 3813 1000)",""
"UTM:(11S 0237 3815 1000)",3.8,1,201,34.4477,-119.8571,0,"UTM:(11S 0237 3815 1000)",""
"UTM:(11S 0238 3811 1000)",3.3,17,199,34.4119,-119.8451,0,"UTM:(11S 0238 3811 1000)",""
"UTM:(11S 0238 3812 1000)",2.9,2,199,34.4209,-119.8454,0,"UTM:(11S 0238 3812 1000)",""
"UTM:(11S 0238 3813 1000)",3.3,11,199,34.4300,-119.8457,0,"UTM:(11S 0238 3813 1000)",""
"UTM:(11S 0238 3814 1000)",3.0,15,200,34.4390,-119.8460,0,"UTM:(11S 0238 3814 1000)",""
"UTM:(11S 0238 3815 1000)",2.0,3,200,34.4479,-119.8463,0,"UTM:(11S 0238 3815 1000)",""
"UTM:(11S 0239 3813 1000)",3.7,3,198,34.4301,-119.8348,0,"UTM:(11S 0239 3813 1000)",""
"UTM:(11S 0239 3814 1000)",3.6,2,199,34.4392,-119.8351,0,"UTM:(11S 0239 3814 1000)",""
"UTM:(11S 0239 3815 1000)",2.6,3,199,34.4482,-119.8354,0,"UTM:(11S 0239 3815 1000)",""
