# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10S 0432 4352 1000)",1.0,1,273,39.3192,-123.7831,0,"UTM:(10S 0432 4352 1000)",""
"UTM:(10S 0484 4336 1000)",3.4,1,229,39.1776,-123.1795,0,"UTM:(10S 0484 4336 1000)",""
"UTM:(10S 0495 4259 1000)",2.2,1,162,38.4838,-123.0516,0,"UTM:(10S 0495 4259 1000)",""
"UTM:(10S 0496 4257 1000)",2.4,2,159,38.4658,-123.0401,0,"UTM:(10S 0496 4257 1000)",""
"UTM:(10S 0498 4261 1000)",2.0,1,161,38.5019,-123.0172,0,"UTM:(10S 0498 4261 1000)",""
"UTM:(10S 0499 4260 1000)",3.5,4,160,38.4929,-123.0058,0,"UTM:(10S 0499 4260 1000)",""
"UTM:(10S 0499 4261 1000)",2.7,1,160,38.5019,-123.0058,0,"UTM:(10S 0499 4261 1000)",""
"UTM:(10S 0500 4262 1000)",2.9,3,160,38.5109,-122.9942,0,"UTM:(10S 0500 4262 1000)",""
"UTM:(10S 0501 4261 1000)",2.7,1,159,38.5019,-122.9828,0,"UTM:(10S 0501 4261 1000)",""
"UTM:(10S 0502 4244 1000)",2.0,1,146,38.3486,-122.9714,0,"UTM:(10S 0502 4244 1000)",""
"UTM:(10S 0502 4247 1000)",2.2,1,148,38.3757,-122.9714,0,"UTM:(10S 0502 4247 1000)",""
"UTM:(10S 0502 4263 1000)",2.0,1,160,38.5199,-122.9714,0,"UTM:(10S 0502 4263 1000)",""
"UTM:(10S 0503 4253 1000)",4.2,1,152,38.4298,-122.9599,0,"UTM:(10S 0503 4253 1000)",""
"UTM:(10S 0503 4260 1000)",1.0,1,157,38.4928,-122.9598,0,"UTM:(10S 0503 4260 1000)",""
"UTM:(10S 0504 4251 1000)",2.2,1,150,38.4117,-122.9485,0,"UTM:(10S 0504 4251 1000)",""
"UTM:(10S 0505 4261 1000)",3.1,1,156,38.5018,-122.9369,0,"UTM:(10S 0505 4261 1000)",""
"UTM:(10S 0506 4261 1000)",3.8,1,156,38.5018,-122.9255,0,"UTM:(10S 0506 4261 1000)",""
"UTM:(10S 0506 4320 1000)",1.0,1,204,39.0335,-122.9249,0,"UTM:(10S 0506 4320 1000)",""
"UTM:(10S 0507 4247 1000)",2.0,1,145,38.3757,-122.9142,0,"UTM:(10S 0507 4247 1000)",""
"UTM:(10S 0507 4249 1000)",2.5,1,146,38.3937,-122.9141,0,"UTM:(10S 0507 4249 1000)",""
"UTM:(10S 0507 4323 1000)",2.2,1,206,39.0606,-122.9133,0,"UTM:(10S 0507 4323 1000)",""
"UTM:(10S 0508 4251 1000)",2.0,2,147,38.4117,-122.9026,0,"UTM:(10S 0508 4251 1000)",""
"UTM:(10S 0508 4252 1000)",3.1,1,148,38.4207,-122.9026,0,"UTM:(10S 0508 4252 1000)",""
"UTM:(10S 0509 4251 1000)",2.0,1,146,38.4117,-122.8912,0,"UTM:(10S 0509 4251 1000)",""
"UTM:(10S 0509 4252 1000)",2.0,1,147,38.4207,-122.8912,0,"UTM:(10S 0509 4252 1000)",""
"UTM:(10S 0509 4256 1000)",1.0,1,150,38.4567,-122.8912,0,"UTM:(10S 0509 4256 1000)",""
"UTM:(10S 0510 4248 1000)",3.4,1,143,38.3846,-122.8798,0,"UTM:(10S 0510 4248 1000)",""
"UTM:(10S 0510 4258 1000)",2.2,1,151,38.4748,-122.8796,0,"UTM:(10S 0510 4258 1000)",""
"UTM:(10S 0511 4246 1000)",2.0,1,141,38.3666,-122.8683,0,"UTM:(10S 0511 4246 1000)",""
"UTM:(10S 0511 4247 1000)",2.0,1,142,38.3756,-122.8683,0,"UTM:(10S 0511 4247 1000)",""
"UTM:(10S 0511 4249 1000)",3.4,1,143,38.3936,-122.8683,0,"UTM:(10S 0511 4249 1000)",""
"UTM:(10S 0511 4251 1000)",2.0,1,145,38.4117,-122.8682,0,"UTM:(10S 0511 4251 1000)",""
"UTM:(10S 0511 4257 1000)",3.4,1,149,38.4657,-122.8681,0,"UTM:(10S 0511 4257 1000)",""
"UTM:(10S 0512 4216 1000)",2.9,2,120,38.0962,-122.8575,0,"UTM:(10S 0512 4216 1000)",""
"UTM:(10S 0512 4244 1000)",2.7,1,139,38.3486,-122.8570,0,"UTM:(10S 0512 4244 1000)",""
"UTM:(10S 0512 4247 1000)",2.0,1,141,38.3756,-122.8569,0,"UTM:(10S 0512 4247 1000)",""
"UTM:(10S 0512 4248 1000)",2.9,2,142,38.3846,-122.8569,0,"UTM:(10S 0512 4248 1000)",""
"UTM:(10S 0513 4213 1000)",2.2,1,118,38.0692,-122.8461,0,"UTM:(10S 0513 4213 1000)",""
"UTM:(10S 0513 4246 1000)",3.4,1,140,38.3666,-122.8454,0,"UTM:(10S 0513 4246 1000)",""
"UTM:(10S 0513 4248 1000)",2.7,1,141,38.3846,-122.8454,0,"UTM:(10S 0513 4248 1000)",""
"UTM:(10S 0513 4251 1000)",2.0,2,144,38.4116,-122.8453,0,"UTM:(10S 0513 4251 1000)",""
"UTM:(10S 0513 4252 1000)",2.2,1,144,38.4207,-122.8453,0,"UTM:(10S 0513 4252 1000)",""
"UTM:(10S 0513 4256 1000)",2.0,1,147,38.4567,-122.8452,0,"UTM:(10S 0513 4256 1000)",""
"UTM:(10S 0513 4257 1000)",2.0,1,148,38.4657,-122.8452,0,"UTM:(10S 0513 4257 1000)",""
"UTM:(10S 0514 4248 1000)",2.0,2,141,38.3846,-122.8339,0,"UTM:(10S 0514 4248 1000)",""
"UTM:(10S 0514 4249 1000)",2.2,2,141,38.3936,-122.8339,0,"UTM:(10S 0514 4249 1000)",""
"UTM:(10S 0514 4250 1000)",3.0,4,142,38.4026,-122.8339,0,"UTM:(10S 0514 4250 1000)",""
"UTM:(10S 0514 4251 1000)",2.4,3,143,38.4116,-122.8339,0,"UTM:(10S 0514 4251 1000)",""
"UTM:(10S 0515 4213 1000)",2.0,1,116,38.0691,-122.8233,0,"UTM:(10S 0515 4213 1000)",""
"UTM:(10S 0515 4222 1000)",4.1,1,122,38.1502,-122.8231,0,"UTM:(10S 0515 4222 1000)",""
"UTM:(10S 0515 4247 1000)",2.9,2,139,38.3756,-122.8226,0,"UTM:(10S 0515 4247 1000)",""
"UTM:(10S 0515 4248 1000)",2.9,2,140,38.3846,-122.8226,0,"UTM:(10S 0515 4248 1000)",""
"UTM:(10S 0515 4249 1000)",2.3,3,141,38.3936,-122.8225,0,"UTM:(10S 0515 4249 1000)",""
"UTM:(10S 0515 4250 1000)",2.0,5,141,38.4026,-122.8225,0,"UTM:(10S 0515 4250 1000)",""
"UTM:(10S 0515 4253 1000)",3.1,1,144,38.4296,-122.8225,0,"UTM:(10S 0515 4253 1000)",""
"UTM:(10S 0515 4264 1000)",2.0,1,152,38.5288,-122.8221,0,"UTM:(10S 0515 4264 1000)",""
"UTM:(10S 0516 4212 1000)",3.4,1,115,38.0601,-122.8119,0,"UTM:(10S 0516 4212 1000)",""
"UTM:(10S 0516 4213 1000)",3.8,1,115,38.0691,-122.8119,0,"UTM:(10S 0516 4213 1000)",""
"UTM:(10S 0516 4214 1000)",3.4,1,116,38.0781,-122.8119,0,"UTM:(10S 0516 4214 1000)",""
"UTM:(10S 0516 4244 1000)",3.1,1,136,38.3485,-122.8111,0,"UTM:(10S 0516 4244 1000)",""
"UTM:(10S 0516 4246 1000)",3.8,1,138,38.3665,-122.8111,0,"UTM:(10S 0516 4246 1000)",""
"UTM:(10S 0516 4247 1000)",3.0,3,139,38.3755,-122.8111,0,"UTM:(10S 0516 4247 1000)",""
"UTM:(10S 0516 4248 1000)",2.0,1,139,38.3846,-122.8110,0,"UTM:(10S 0516 4248 1000)",""
"UTM:(10S 0516 4249 1000)",2.0,1,140,38.3936,-122.8110,0,"UTM:(10S 0516 4249 1000)",""
"UTM:(10S 0516 4257 1000)",1.0,1,146,38.4657,-122.8108,0,"UTM:(10S 0516 4257 1000)",""
"UTM:(10S 0516 4267 1000)",1.0,1,154,38.5558,-122.8107,0,"UTM:(10S 0516 4267 1000)",""
"UTM:(10S 0517 4214 1000)",2.7,1,115,38.0781,-122.8005,0,"UTM:(10S 0517 4214 1000)",""
"UTM:(10S 0517 4244 1000)",2.7,1,136,38.3485,-122.7997,0,"UTM:(10S 0517 4244 1000)",""
"UTM:(10S 0517 4246 1000)",2.9,2,137,38.3665,-122.7996,0,"UTM:(10S 0517 4246 1000)",""
"UTM:(10S 0517 4247 1000)",2.0,2,138,38.3755,-122.7996,0,"UTM:(10S 0517 4247 1000)",""
"UTM:(10S 0517 4254 1000)",2.2,1,143,38.4386,-122.7995,0,"UTM:(10S 0517 4254 1000)",""
"UTM:(10S 0517 4266 1000)",3.4,1,153,38.5468,-122.7991,0,"UTM:(10S 0517 4266 1000)",""
"UTM:(10S 0517 4267 1000)",1.0,1,154,38.5558,-122.7991,0,"UTM:(10S 0517 4267 1000)",""
"UTM:(10S 0518 4244 1000)",3.1,1,135,38.3485,-122.7883,0,"UTM:(10S 0518 4244 1000)",""
"UTM:(10S 0518 4245 1000)",2.0,2,136,38.3575,-122.7883,0,"UTM:(10S 0518 4245 1000)",""
"UTM:(10S 0518 4256 1000)",2.2,1,144,38.4566,-122.7879,0,"UTM:(10S 0518 4256 1000)",""
"UTM:(10S 0519 4243 1000)",2.7,1,134,38.3394,-122.7768,0,"UTM:(10S 0519 4243 1000)",""
"UTM:(10S 0519 4244 1000)",3.1,1,134,38.3484,-122.7768,0,"UTM:(10S 0519 4244 1000)",""
"UTM:(10S 0519 4245 1000)",2.1,3,135,38.3575,-122.7768,0,"UTM:(10S 0519 4245 1000)",""
"UTM:(10S 0519 4251 1000)",2.0,1,140,38.4115,-122.7766,0,"UTM:(10S 0519 4251 1000)",""
"UTM:(10S 0519 4252 1000)",2.7,1,140,38.4205,-122.7766,0,"UTM:(10S 0519 4252 1000)",""
"UTM:(10S 0519 4258 1000)",3.1,1,145,38.4746,-122.7765,0,"UTM:(10S 0519 4258 1000)",""
"UTM:(10S 0519 4262 1000)",2.0,1,148,38.5107,-122.7764,0,"UTM:(10S 0519 4262 1000)",""
"UTM:(10S 0520 4250 1000)",3.4,1,138,38.4025,-122.7653,0,"UTM:(10S 0520 4250 1000)",""
"UTM:(10S 0520 4251 1000)",3.1,1,139,38.4115,-122.7652,0,"UTM:(10S 0520 4251 1000)",""
"UTM:(10S 0520 4252 1000)",3.1,1,140,38.4205,-122.7652,0,"UTM:(10S 0520 4252 1000)",""
"UTM:(10S 0520 4253 1000)",2.0,3,141,38.4295,-122.7652,0,"UTM:(10S 0520 4253 1000)",""
"UTM:(10S 0520 4255 1000)",2.0,1,142,38.4475,-122.7651,0,"UTM:(10S 0520 4255 1000)",""
"UTM:(10S 0520 4256 1000)",1.0,1,143,38.4566,-122.7651,0,"UTM:(10S 0520 4256 1000)",""
"UTM:(10S 0520 4262 1000)",2.0,2,148,38.5106,-122.7648,0,"UTM:(10S 0520 4262 1000)",""
"UTM:(10S 0521 4247 1000)",1.0,1,135,38.3754,-122.7538,0,"UTM:(10S 0521 4247 1000)",""
"UTM:(10S 0521 4251 1000)",2.2,1,138,38.4115,-122.7537,0,"UTM:(10S 0521 4251 1000)",""
"UTM:(10S 0521 4253 1000)",2.0,3,140,38.4295,-122.7536,0,"UTM:(10S 0521 4253 1000)",""
"UTM:(10S 0521 4254 1000)",3.0,2,141,38.4385,-122.7536,0,"UTM:(10S 0521 4254 1000)",""
"UTM:(10S 0521 4259 1000)",1.0,1,145,38.4836,-122.7535,0,"UTM:(10S 0521 4259 1000)",""
"UTM:(10S 0522 4246 1000)",3.8,1,134,38.3664,-122.7424,0,"UTM:(10S 0522 4246 1000)",""
