# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(10S 0565 4191 1000)",2.0,1,852,37.8687,-122.2553,0,"UTM:(10S 0565 4191 1000)",""
"UTM:(10S 0632 4270 1000)",2.0,1,858,38.5731,-121.4789,0,"UTM:(10S 0632 4270 1000)",""
"UTM:(10S 0691 4151 1000)",2.2,2,732,37.4906,-120.8339,0,"UTM:(10S 0691 4151 1000)",""
"UTM:(10S 0709 3951 1000)",2.0,1,594,35.6852,-120.6848,0,"UTM:(10S 0709 3951 1000)",""
"UTM:(10S 0716 3944 1000)",4.3,3,584,35.6206,-120.6095,0,"UTM:(10S 0716 3944 1000)",""
"UTM:(10S 0737 4002 1000)",9.0,4,599,36.1381,-120.3605,0,"UTM:(10S 0737 4002 1000)",""
"UTM:(11S 0233 3814 1000)",2.0,1,465,34.4377,-119.9004,0,"UTM:(11S 0233 3814 1000)",""
"UTM:(11S 0242 3813 1000)",2.0,1,456,34.4309,-119.8022,0,"UTM:(11S 0242 3813 1000)",""
"UTM:(11S 0250 4020 1000)",3.4,4,571,36.2973,-119.7784,0,"UTM:(11S 0250 4020 1000)",""
"UTM:(11S 0250 4079 1000)",5.1,4,615,36.8285,-119.7976,0,"UTM:(11S 0250 4079 1000)",""
"UTM:(11S 0295 3794 1000)",3.1,1,400,34.2716,-119.2214,0,"UTM:(11S 0295 3794 1000)",""
"UTM:(11S 0316 3916 1000)",3.8,3,452,35.3750,-119.0200,0,"UTM:(11S 0316 3916 1000)",""
"UTM:(11S 0317 3916 1000)",2.5,1,451,35.3752,-119.0091,0,"UTM:(11S 0317 3916 1000)",""
"UTM:(11S 0336 3999 1000)",2.0,1,498,36.1264,-118.8169,0,"UTM:(11S 0336 3999 1000)",""
"UTM:(11S 0633 3629 1000)",7.2,3,28,32.7953,-115.5743,0,"UTM:(11S 0633 3629 1000)",""
"UTM:(11S 0638 3650 1000)",6.1,1,40,32.9841,-115.5177,0,"UTM:(11S 0638 3650 1000)",""
"UTM:(11S 0648 3622 1000)",3.4,1,17,32.7303,-115.4152,0,"UTM:(11S 0648 3622 1000)",""
"UTM:(11S 0652 3632 1000)",6.4,1,22,32.8199,-115.3709,0,"UTM:(11S 0652 3632 1000)",""
"UTM:(12S 0585 3789 1000)",2.0,1,521,34.2431,-110.0715,0,"UTM:(12S 0585 3789 1000)",""
