OBJECTID	TARGET_FID	LON	LAT	MAX_MMI	EARTHQUAKE
761	1732	-114.735296	33.62029027	4.8	Historic MMI\pt__1968
762	7587	-120.2150193	37.34945884		
763	3704	-114.735296	34.88253456		
764	13705	-122.9099651	41.03787166		
765	10917	-123.2692912	39.39165705		
766	7799	-122.0116498	37.49214606	4.3	DYFI\ca_2007
767	11046	-122.1014814	39.46104663		
768	204	-116.5319266	32.64236512	5.6	Historic MMI\pt__1942
769	9422	-122.1014814	38.48331914		
770	7156	-117.2774512	37.04048807		
771	12436	-122.2811444	40.28832212		
772	5146	-120.6641769	35.83491374	3.1	DYFI\ca_2019b
773	9681	-119.6760301	38.62382017		
774	11761	-120.3946823	39.87593172	5.8	DYFI\ca_2001
775	6547	-119.8556931	36.70400952	3	DYFI\ca_2019b
776	13467	-123.4489543	40.90221672		
777	9869	-123.6175043	38.77568183		
778	2539	-115.1844537	34.14233		
779	7010	-119.9455247	36.99155291	3.1	DYFI\ca_2019b
780	782	-116.7115897	33.0197787	3.7	DYFI\ca_2009
781	7570	-121.7421552	37.34945884	6.3	Historic MMI\pt__1984a
782	12544	-122.9997966	40.35681087		
783	780	-116.8912527	33.0197787	5.5	Historic MMI\pt__1968
784	2533	-115.7234428	34.14233	5.2	DYFI\ca_2019b
785	12069	-123.9879435	40.08243916	2.2	DYFI\ca_2005b
786	6530	-121.3828291	36.70400952	5.5	Historic MMI\pt__1906
787	12207	-122.0116498	40.15113624		
788	11755	-120.9336715	39.87593172		
789	4909	-121.1133345	35.68912602	3.1	DYFI\ca_2004
790	6531	-121.2929976	36.70400952	6.9	Historic MMI\pt__1984a
791	3462	-115.6336113	34.73502021		
792	3331	-116.9810842	34.66116407		
793	10104	-123.3591228	38.90399773		
794	12910	-121.3828291	40.56186003		
795	4154	-115.9929374	35.17676988		
796	9219	-119.496367	38.34254367		
797	5315	-115.9031059	35.90770736		
798	12084	-122.6404705	40.08243916		
799	5065	-117.5200734	35.76205328		
800	5164	-119.0472094	35.83491374		
801	11490	-123.8766801	39.73917049		
802	7845	-117.8905721	37.4815241		
803	6346	-117.0709158	36.55983269		
804	10364	-120.84384	39.04367366	4	Historic MMI\pt__1952a
805	2611	-119.1370409	34.21664596	6.5	Historic MMI\pt__1952a
806	7235	-120.5743454	37.13491868		
807	5505	-119.6760301	36.05309384		
808	7945	-119.316704	37.56338767		
809	2189	-115.3641167	33.91898986		
810	2507	-118.0590626	34.14233	7.3	Historic MMI\pt__1987a
811	2972	-117.9692311	34.43920062	7	DYFI\ca_2009
812	2251	-120.2150193	33.99350188		
813	904	-116.1726005	33.09506866		
814	6905	-118.9573779	36.91976847		
815	10566	-123.5387858	39.18307398		
816	5080	-116.1726005	35.76205328		
817	13269	-120.3946823	40.76628298	4.4	Historic MMI\pt__1954b
818	11733	-122.9099651	39.87593172		
819	14399	-123.0896282	41.44316177		
820	3793	-117.1607473	34.95619266	5.8	Historic MMI\pt__1952a
821	805	-114.6495078	33.01154064		
822	4739	-115.5437798	35.54307135		
823	9545	-121.4726607	38.55360398	6	Historic MMI\pt__1992a
824	4450	-120.6641769	35.39675021	4.2	DYFI\ca_2004
825	4823	-118.4183887	35.61613202	6.3	DYFI\ca_2019b
826	5296	-117.6099049	35.90770736		
827	15325	-123.268811	41.97434043		
828	7729	-117.8793995	37.42083643		
829	12681	-121.1133345	40.42523013		
830	14752	-122.6404705	41.64486375		
831	13710	-122.4608075	41.03787166		
832	3986	-120.6600061	35.10556835	6.4	Historic MMI\pt__1927b
833	3009	-114.6454645	34.43920062		
834	10131	-120.9336715	38.90399773	8	Historic MMI\pt__1898
835	15361	-120.0397376	41.97060674		
836	4574	-119.9455247	35.46994406		
837	5431	-115.9091472	35.97539399		
838	6682	-118.1488941	36.77599673	3.1	DYFI\ca_2019b
839	4021	-117.5200734	35.10331038		
840	5252	-121.5330927	35.91644248		
841	11746	-121.7421552	39.87593172	2	DYFI\ca_2001
842	4487	-117.3404104	35.39675021		
843	2521	-116.8014212	34.14233		
844	1121	-117.4954569	33.26080131		
845	1013	-116.8014212	33.17029419	5.1	Historic MMI\pt__1954a
846	7924	-121.2031661	37.56338767	6	Historic MMI\pt__1984a
847	6528	-121.5624922	36.70400952	6	Historic MMI\pt__1906
848	9904	-120.4845138	38.76404647	5.1	Historic MMI\pt__1966
849	11764	-120.1251877	39.87593172		
850	2897	-114.2875879	34.36387746		
851	13347	-123.8082804	40.83428469		
852	1488	-115.8132744	33.47055056		
853	3354	-114.9149591	34.66116407		
854	5196	-116.1726005	35.83491374	5	Historic MMI\pt__1968
855	3294	-120.3048508	34.66116407		
856	6208	-119.0472094	36.48764317	4.6	DYFI\ca_2019b
857	15354	-120.6643229	41.96981133		
858	5166	-118.8675463	35.83491374	5	Historic MMI\pt__1872
859	3990	-120.3048508	35.10331038		
860	7379	-118.0590626	37.20649991		
861	3231	-115.5437798	34.58724206		
862	2893	-114.6454645	34.36508134		
863	10360	-121.2031661	39.04367366	3.1	DYFI\ca_2001
864	2276	-117.9692311	33.99350188	6.1	Historic MMI\pt__1987a
865	11397	-121.8319868	39.6688006	4.1	DYFI\ca_2019b
866	6666	-119.5861986	36.77599673	5.3	DYFI\ca_2019b
867	7133	-119.316704	37.06326967	4.6	DYFI\ca_2019b
868	10348	-122.2811444	39.04367366		
869	3096	-117.2505788	34.51325422	6.2	Historic MMI\pt__1968
870	10950	-120.3048508	39.39165705	3.2	DYFI\ca_2001
871	12888	-123.3591228	40.56186003		
